synapse_id,pre_root_id,post_root_id,pre_cell_type,post_cell_type,region,x_um,y_um,z_um,size_vx
1,100052,100083,L23_pyr,L23_pyr,L2/3,292.9,216.4,117.5,110
2,100237,100151,basket,L4_exc,L4,-44.6,400.4,112.2,169
3,100068,100132,L23_pyr,L4_exc,L4,283.4,456.9,90.9,240
4,100123,100113,L4_exc,L4_exc,L4,114.5,387.5,158.8,154
5,100114,100105,L4_exc,L4_exc,L4,116.2,297.5,152.3,151
6,100172,100233,L5_pyr,basket,L2/3,215.0,85.8,273.6,81
7,100035,100254,L23_pyr,basket,L4,242.6,354.2,211.4,162
8,100235,100248,basket,basket,L2/3,256.9,298.4,99.7,234
9,100003,100001,L23_pyr,L23_pyr,L2/3,67.3,291.2,23.9,415
10,100016,100073,L23_pyr,L23_pyr,L2/3,184.8,218.4,226.5,143
11,100045,100059,L23_pyr,L23_pyr,L2/3,40.4,185.7,273.8,160
12,100274,100121,martinotti,L4_exc,L4,236.3,302.8,224.7,385
13,100255,100298,basket,vip,L4,244.0,290.9,217.3,503
14,100120,100141,L4_exc,L4_exc,L4,180.7,329.2,214.6,454
15,100246,100036,basket,L23_pyr,L2/3,165.2,178.3,-11.1,192
16,100169,100078,L5_pyr,L23_pyr,L2/3,172.9,220.4,304.4,73
17,100173,100022,L5_pyr,L23_pyr,L2/3,93.8,245.8,79.4,143
18,100110,100098,L4_exc,L4_exc,L4,290.9,414.8,190.8,118
19,100291,100042,vip,L23_pyr,L2/3,199.6,225.5,247.2,86
20,100090,100178,L23_pyr,L5_pyr,L5,270.4,570.0,210.2,304
21,100117,100282,L4_exc,martinotti,L2/3,41.1,113.5,90.2,188
22,100019,100105,L23_pyr,L4_exc,L4,96.9,336.2,188.9,230
23,100278,100206,martinotti,L5_pyr,L5,122.7,458.0,71.8,185
24,100113,100112,L4_exc,L4_exc,L4,-3.7,395.2,87.6,118
25,100007,100128,L23_pyr,L4_exc,L4,253.4,326.1,194.0,294
26,100058,100234,L23_pyr,basket,L4,204.2,323.8,39.4,699
27,100283,100271,martinotti,martinotti,L5,129.1,506.1,272.6,314
28,100117,100022,L4_exc,L23_pyr,L2/3,144.1,262.0,162.6,81
29,100082,100262,L23_pyr,martinotti,L2/3,124.4,269.8,-19.5,73
30,100272,100169,martinotti,L5_pyr,L5,11.8,518.0,216.9,100
31,100005,100234,L23_pyr,basket,L4,139.2,272.4,1.5,200
32,100250,100149,basket,L4_exc,L4,32.0,313.3,92.8,844
33,100073,100053,L23_pyr,L23_pyr,L2/3,273.4,248.7,210.6,146
34,100217,100230,L5_pyr,basket,L5,189.4,593.2,282.2,169
35,100284,100242,martinotti,,L4,218.5,362.3,250.4,344
36,100134,100266,L4_exc,martinotti,L5,291.2,496.2,123.3,141
37,100162,100171,L5_pyr,L5_pyr,L5,117.6,524.3,245.3,251
38,100075,100270,L23_pyr,martinotti,L5,187.5,481.8,274.1,93
39,100003,100109,L23_pyr,L4_exc,L4,32.7,385.8,188.3,292
40,100155,100074,L4_exc,L23_pyr,L2/3,290.4,203.6,311.8,111
41,100199,100223,L5_pyr,basket,L5,243.6,646.6,253.1,210
42,100202,100210,L5_pyr,L5_pyr,L5,44.0,515.3,233.8,248
43,100013,100146,L23_pyr,L4_exc,L4,25.4,458.7,68.1,259
44,100145,100146,L4_exc,L4_exc,L4,35.3,466.5,43.7,360
45,100083,100248,L23_pyr,basket,L2/3,233.3,309.7,109.4,186
46,100022,100026,L23_pyr,L23_pyr,L2/3,137.1,298.3,305.2,321
47,100172,100285,L5_pyr,martinotti,L5,156.5,691.4,-12.4,307
48,100279,100116,martinotti,L4_exc,L4,107.2,352.6,15.4,267
49,100190,100065,L5_pyr,L23_pyr,L2/3,187.3,182.8,15.0,187
50,100019,100022,L23_pyr,L23_pyr,L2/3,99.2,259.7,110.3,63
51,100162,100163,L5_pyr,L5_pyr,L5,192.2,501.3,155.7,541
52,100185,100204,L5_pyr,L5_pyr,L5,167.3,649.0,45.5,141
53,100117,100299,L4_exc,vip,L4,56.2,317.9,200.1,203
54,100272,100082,martinotti,L23_pyr,L2/3,82.4,231.8,148.8,249
55,100115,100296,L4_exc,vip,L2/3,178.9,265.8,234.4,117
56,100282,100049,martinotti,L23_pyr,L2/3,10.8,137.1,159.2,297
57,100011,100058,L23_pyr,L23_pyr,L2/3,95.6,127.4,118.1,131
58,100096,100151,L4_exc,L4_exc,L4,26.5,421.2,116.3,184
59,100093,100085,L4_exc,L23_pyr,L2/3,16.8,286.1,50.0,168
60,100029,100275,L23_pyr,martinotti,L5,286.6,494.1,210.6,214
61,100159,100188,L4_exc,L5_pyr,L5,270.0,548.8,131.9,172
62,100104,100169,L4_exc,L5_pyr,L5,-0.1,449.3,226.8,95
63,100218,100155,L5_pyr,L4_exc,L4,193.6,421.9,60.8,109
64,100173,100261,L5_pyr,martinotti,L5,156.3,630.0,119.8,98
65,100231,100022,basket,,L2/3,136.8,243.0,92.6,494
66,100214,100161,L5_pyr,L5_pyr,L5,200.6,571.9,179.8,219
67,100152,100061,L4_exc,L23_pyr,L2/3,284.6,258.1,169.2,82
68,100076,100035,L23_pyr,L23_pyr,L2/3,253.8,168.6,266.3,478
