id,true_type,false_edges,missed_edges,false_reciprocal,hidden_reciprocal,on_analysis_cell,size_outlier,misassigned_synapses
C01,merge,16,0,0,0,1,1,0
C02,split,0,8,0,0,1,0,0
C03,merge,10,0,0,0,1,1,0
C04,split,0,0,0,0,0,0,0
C05,split,0,5,0,0,1,0,0
C06,boundary,3,2,0,0,1,0,9
C07,boundary,3,3,0,0,1,0,5
C08,merge,14,0,0,0,1,1,0
C09,split,0,7,0,0,1,0,0
C10,not_error,0,0,0,0,0,0,0
C11,not_error,0,0,0,0,0,0,0
C12,merge,0,0,0,0,0,0,0
C13,merge,0,0,0,0,0,0,0
C14,split,0,4,0,0,1,0,0
C15,not_error,0,0,0,0,0,0,0
C16,boundary,1,1,0,0,1,0,6
C17,split,0,0,0,0,0,0,0
C18,merge,0,0,0,0,0,0,0
C19,merge,8,0,0,0,1,1,0
C20,boundary,2,3,0,0,1,0,9
C21,split,0,8,0,0,1,0,0
C22,merge,10,0,0,0,1,1,0
C23,split,0,0,0,0,0,0,0
C24,split,0,0,0,0,0,0,0
C25,split,0,0,0,0,0,0,0
