error_id,detector_flag,segment_id,other_segment_id,putative_class,in_analysis_roi,synapses_on_segment,detector_score,x_um,y_um,z_um,detector_note
E01,merge,8880,8748,L2/3 pyramidal,no,394,0.77,86.4,47.7,72.6,"two somata in one object at the volume corner, z=430"
E02,uncertain,9016,8649,L2/3 pyramidal,yes,214,0.36,17.5,48.6,48.4,odd branching angle at z=442; membrane looks continuous
E03,uncertain,9576,9651,L2/3 pyramidal,yes,293,0.41,54.3,76.6,94.2,caliber change without a visible membrane at z=228; could be a merge
E04,merge,8673,7769,interneuron,yes,497,0.61,54.2,61.1,6.0,interneuron axon fused with a neighboring interneuron dendrite at z=312
E05,split,7318,,glia,yes,0,0.93,17.1,48.2,2.6,glial sheet broken into many small objects near z=979
E06,merge,7955,7389,L2/3 pyramidal,yes,418,0.7,61.4,26.9,24.7,two somata in one object; thin bridge near z=259
E07,split,9657,,unknown fragment,yes,5,0.8,11.4,86.1,10.5,"orphan axon fragment, 20-40 um, no soma in volume, z=645"
E08,merge,8397,9092,L2/3 pyramidal,yes,342,0.57,37.4,27.9,24.6,smooth branch joins spiny pyramidal arbor at z=713
E09,merge,8110,9738,interneuron,yes,555,0.71,86.3,70.0,70.4,interneuron axon fused with a neighboring interneuron dendrite at z=951
E10,split,9882,,L2/3 pyramidal,no,57,0.56,60.6,14.6,13.9,"dendrite dead-ends at the volume edge, z=459"
E11,split,9381,,L2/3 pyramidal,yes,46,0.64,99.9,36.4,65.0,main axon dead-ends in a low-contrast stretch at z=523; continuation candidate 3 sections on
E12,uncertain,9330,9208,L2/3 pyramidal,yes,155,0.33,92.2,13.6,19.8,odd branching angle at z=646; membrane looks continuous
E13,uncertain,7284,9502,L2/3 pyramidal,yes,136,0.42,45.0,67.1,98.3,possible missed continuation across a fold at z=939
E14,split,8898,,L2/3 pyramidal,no,117,0.76,52.8,1.1,85.6,"dendrite dead-ends at the volume edge, z=812"
E15,merge,9447,9693,L2/3 pyramidal,no,343,0.71,69.6,31.2,81.6,"two somata in one object at the volume corner, z=517"
E16,split,8653,,L2/3 pyramidal,yes,117,0.7,42.3,17.8,51.6,axon of an analysis-set cell ends abruptly at missing section z=881
E17,split,9310,,L2/3 pyramidal,yes,25,0.51,20.6,51.4,93.0,distal dendrite branch detached at z=498
E18,uncertain,8523,7606,L2/3 pyramidal,yes,127,0.41,93.1,87.2,29.4,possible missed continuation across a fold at z=347
E19,merge,9654,8602,glia,yes,4,0.94,10.0,80.8,50.3,very large irregular mesh; astrocytic sheet fused to several axons near z=706
E20,merge,7511,8743,glia,yes,4,0.96,47.0,5.9,42.7,very large irregular mesh; astrocytic sheet fused to several axons near z=666
E21,uncertain,9514,9708,L2/3 pyramidal,yes,252,0.48,98.8,79.8,4.4,caliber change without a visible membrane at z=301; could be a merge
