pre_id,post_id,synapses
20001,20027,2
20001,20033,2
20001,20038,1
20001,20047,1
20001,20075,1
20001,20079,1
20001,20098,2
20001,20107,1
20001,20109,1
20001,20192,1
20001,20215,2
20001,20324,2
20001,20326,3
20001,20334,2
20001,20340,3
20001,20364,1
20001,20374,1
20001,20402,2
20001,20420,1
20001,20432,1
20001,20499,1
20002,20011,2
20002,20076,4
20002,20140,2
20002,20148,1
20002,20153,1
20002,20242,3
20002,20275,2
20002,20285,1
20002,20297,2
20002,20330,3
20002,20345,1
20002,20355,3
20002,20382,2
20002,20383,1
20002,20392,1
20002,20414,2
20002,20424,1
20002,20442,3
20003,20017,3
20003,20045,1
20003,20050,6
20003,20067,1
20003,20147,1
20003,20148,1
20003,20149,2
20003,20151,3
20003,20161,1
20003,20215,3
20003,20221,1
20003,20246,3
20003,20281,4
20003,20287,1
20003,20310,1
20003,20459,2
20004,20002,1
20004,20003,2
20004,20005,2
20004,20035,2
20004,20038,1
20004,20058,1
20004,20077,1
20004,20105,1
20004,20108,1
20004,20116,4
20004,20121,3
20004,20125,5
20004,20128,3
20004,20142,1
20004,20146,1
20004,20152,1
20004,20156,2
20004,20157,1
20004,20178,3
20004,20187,3
20004,20202,2
20004,20222,1
20004,20224,1
20004,20240,1
20004,20241,1
20004,20263,2
20004,20270,2
20004,20273,1
20004,20277,3
20004,20278,2
20004,20281,1
20004,20299,1
20004,20315,1
20004,20325,1
20004,20347,4
20004,20373,1
20004,20385,1
20004,20389,1
20004,20395,1
20004,20411,1
20004,20414,1
20004,20425,1
20004,20427,1
20004,20442,2
20004,20450,4
20004,20456,1
20005,20016,2
20005,20018,1
20005,20061,1
20005,20068,2
20005,20072,2
20005,20077,1
20005,20087,1
20005,20089,1
20005,20106,5
20005,20111,1
20005,20121,1
20005,20122,1
20005,20128,2
20005,20145,4
20005,20156,1
20005,20161,1
20005,20182,3
20005,20222,1
20005,20244,4
20005,20299,2
20005,20319,2
20005,20350,1
20005,20370,4
20005,20402,1
20005,20427,1
20005,20434,2
20005,20455,1
20005,20456,2
20005,20460,1
20006,20060,1
20006,20070,1
20006,20163,1
20006,20212,1
20006,20280,1
20006,20298,1
20006,20348,2
20006,20384,1
20006,20438,3
20006,20461,7
20006,20469,3
20007,20056,1
20007,20057,1
20007,20066,2
20007,20093,6
20007,20105,1
20007,20122,1
20007,20124,3
20007,20168,1
20007,20184,1
20007,20222,3
20007,20244,1
20007,20248,1
20007,20255,2
20007,20265,1
20007,20282,1
20007,20285,1
20007,20294,1
20007,20300,1
20007,20321,1
20007,20333,1
20007,20335,6
20007,20337,1
20007,20410,1
20007,20429,1
20007,20437,1
20007,20442,1
20007,20450,2
20007,20454,2
20007,20459,2
20007,20490,1
20008,20001,3
20008,20043,3
20008,20080,1
20008,20096,1
20008,20107,1
20008,20168,3
20008,20197,1
20008,20216,5
20008,20229,2
20008,20230,1
20008,20339,1
20008,20362,2
20008,20390,1
20008,20403,3
20008,20406,2
20008,20420,1
20008,20433,1
20008,20445,3
20009,20001,2
20009,20027,1
20009,20034,2
20009,20042,2
20009,20053,1
20009,20062,7
20009,20070,2
20009,20088,2
20009,20098,2
20009,20117,3
20009,20123,1
20009,20133,1
20009,20134,1
20009,20138,5
20009,20141,5
20009,20146,1
20009,20162,1
20009,20192,1
20009,20194,2
20009,20196,1
20009,20200,1
20009,20214,2
20009,20220,1
20009,20233,1
20009,20239,1
20009,20281,4
20009,20293,1
20009,20319,1
20009,20341,1
20009,20356,3
20009,20387,8
20009,20390,4
20009,20393,2
20009,20406,1
20009,20426,1
20009,20432,1
20009,20448,1
20009,20461,1
20009,20463,2
20009,20477,3
20009,20481,1
20009,20501,5
20010,20009,7
20010,20043,3
20010,20047,4
20010,20107,1
20010,20118,6
20010,20123,1
20010,20126,1
20010,20167,1
20010,20192,1
20010,20219,3
20010,20263,3
20010,20314,1
20010,20318,1
20010,20324,1
20010,20329,4
20010,20429,1
20010,20471,1
20010,20484,1
20010,20497,1
20011,20007,1
