node_id,cell_type,layer,soma_x_um,soma_y_um,soma_z_um,soma_count
20001,L5_pyr,L5,208.3,661.1,299.9,1
20002,L4_exc,L4,140.4,386.6,97.5,1
20003,L23_pyr,L2/3,247.9,280.3,391.5,1
20004,basket,L2/3,53.0,213.6,317.0,1
20005,neurogliaform,L1,67.2,69.5,331.1,1
20006,L6_pyr,L6,367.5,885.7,235.2,1
20007,L23_pyr,L2/3,221.4,183.1,132.2,1
20008,L5_pyr,L5,214.6,599.8,128.1,1
20009,basket,L6,99.0,809.4,99.6,1
20010,L5_pyr,L5,111.5,721.3,87.7,1
20011,chandelier,L2/3,121.8,300.6,191.2,1
20012,L5_pyr,L5,84.8,632.4,213.2,1
20013,L4_exc,L4,86.1,489.7,392.6,1
20014,L6_pyr,L6,258.8,819.3,139.3,1
20015,martinotti,L6,80.5,889.8,222.9,1
20016,neurogliaform,L1,78.8,25.5,233.8,1
20017,neurogliaform,L1,100.8,64.1,263.1,1
20018,L4_exc,L4,70.1,352.9,78.0,1
20019,basket,L5,32.4,562.1,368.8,1
20020,L5_pyr,L5,347.4,571.8,328.7,1
20021,martinotti,L6,98.6,910.4,221.6,1
20022,L6_pyr,L6,28.1,867.3,57.3,1
20023,L23_pyr,L2/3,315.2,150.0,317.7,1
20024,chandelier,L2/3,343.1,192.2,211.9,1
20025,L4_exc,L4,61.3,493.8,139.5,1
20026,L4_exc,L4,63.5,461.1,326.8,1
20027,L5_pyr,L5,48.1,646.6,313.9,1
20028,L4_exc,L4,91.7,350.9,274.1,1
20029,L23_pyr,L2/3,37.6,265.3,186.7,1
20030,L5_pyr,L5,58.5,704.6,378.5,1
20031,L6_pyr,L6,368.0,916.5,134.4,1
20032,vip,L6,207.2,759.5,343.7,1
20033,L5_pyr,L5,40.5,680.3,366.3,1
20034,L23_pyr,L2/3,230.7,122.8,65.8,1
20035,L4_exc,L4,24.0,456.5,353.2,1
20036,L6_pyr,L6,152.2,938.8,277.8,1
20037,L5_pyr,L5,277.4,674.8,142.1,1
20038,L5_pyr,L5,209.1,570.7,139.5,1
20039,L6_pyr,L6,106.3,891.3,234.8,1
20040,L4_exc,L4,140.0,482.0,103.0,1
20041,L4_exc,L4,386.7,379.8,355.7,1
20042,L5_pyr,L5,20.3,716.0,191.7,1
20043,L5_pyr,L5,63.7,671.6,330.1,1
20044,L6_pyr,L6,388.4,825.8,356.4,1
20045,chandelier,L2/3,265.6,242.9,71.2,1
20046,L4_exc,L4,387.9,353.3,365.7,1
20047,L5_pyr,L5,7.0,644.4,61.7,1
20048,L5_pyr,L5,373.8,688.3,238.7,1
20049,L23_pyr,L2/3,317.4,172.1,339.3,1
20050,L4_exc,L4,297.6,369.3,386.8,1
20051,L6_pyr,L6,80.5,771.5,166.9,1
20052,L6_pyr,L6,157.8,928.7,143.0,1
20053,L5_pyr,L5,111.8,683.1,213.3,1
20054,martinotti,L2/3,307.4,295.5,284.0,1
20055,L4_exc,L4,262.6,454.7,283.3,1
20056,martinotti,L2/3,295.7,126.0,297.2,1
20057,martinotti,L4,237.5,380.5,299.7,1
20058,L4_exc,L4,328.6,428.5,269.8,1
20059,L23_pyr,L2/3,91.8,102.1,185.2,1
20060,martinotti,L6,309.3,941.3,114.6,1
20061,L23_pyr,L2/3,132.2,148.0,260.2,1
20062,L6_pyr,L6,58.0,939.3,116.9,1
20063,L4_exc,L4,108.6,456.3,11.8,1
20064,L5_pyr,L5,115.2,610.1,321.4,1
20065,L23_pyr,L2/3,339.4,209.3,12.6,1
20066,chandelier,L2/3,389.1,114.0,84.1,1
20067,martinotti,L4,134.6,355.8,376.2,1
20068,L4_exc,L4,175.7,402.0,10.3,1
20069,L6_pyr,L6,366.7,817.8,101.7,1
20070,L5_pyr,L5,245.7,524.3,360.9,1
20071,L5_pyr,L5,199.7,640.1,94.2,1
20072,chandelier,L2/3,78.2,140.3,25.4,1
20073,L5_pyr,L5,255.1,649.6,173.6,1
20074,chandelier,L2/3,225.5,113.9,385.8,1
20075,L5_pyr,L5,395.8,657.3,322.9,1
20076,L4_exc,L4,11.6,477.5,175.9,1
20077,L23_pyr,L2/3,41.2,284.8,119.8,1
20078,L4_exc,L4,31.6,413.7,88.1,1
20079,L23_pyr,L2/3,42.9,155.1,93.6,1
20080,L5_pyr,L5,154.4,710.8,181.7,1
20081,L5_pyr,L5,84.8,707.6,281.0,1
20082,L5_pyr,L5,251.7,702.0,223.2,1
20083,L5_pyr,L5,3.1,653.2,172.6,1
20084,L6_pyr,L6,74.8,756.4,365.5,1
20085,L23_pyr,L2/3,278.8,146.2,174.6,1
20086,L6_pyr,L6,9.8,850.8,233.6,1
20087,L23_pyr,L2/3,40.1,224.4,232.1,1
20088,L6_pyr,L6,329.1,811.6,48.2,1
20089,L23_pyr,L2/3,56.9,317.5,323.2,1
20090,L4_exc,L4,239.3,400.4,179.8,1
20091,vip,L5,387.5,502.6,76.9,1
20092,martinotti,L6,48.9,937.1,53.5,1
20093,basket,L2/3,380.2,150.4,224.7,1
20094,vip,L4,383.2,380.3,336.5,1
20095,L23_pyr,L2/3,68.3,222.9,313.5,1
20096,L6_pyr,L6,234.6,787.0,247.6,1
20097,L23_pyr,L2/3,334.2,160.4,4.5,1
20098,L6_pyr,L6,139.7,935.9,358.5,1
20099,L6_pyr,L6,187.4,912.7,196.7,1
20100,basket,L4,25.8,497.8,171.8,1
20101,L4_exc,L4,224.9,398.4,235.5,1
20102,L4_exc,L4,95.6,462.3,380.3,1
20103,L5_pyr,L5,151.1,555.4,88.7,1
20104,basket,L5,116.4,522.3,29.5,1
20105,L23_pyr,L2/3,187.4,186.9,91.5,1
20106,L23_pyr,L2/3,310.6,182.8,223.6,1
20107,L5_pyr,L5,189.1,601.8,121.2,1
20108,L23_pyr,L2/3,366.7,208.7,397.6,1
20109,L6_pyr,L6,331.1,794.1,89.2,1
20110,basket,L2/3,71.1,268.4,188.0,1
20111,L23_pyr,L2/3,152.2,202.8,373.9,1
20112,L6_pyr,L6,339.1,798.5,230.4,1
20113,neurogliaform,L1,85.6,40.1,218.5,1
20114,L4_exc,L4,285.4,428.7,221.9,1
20115,L23_pyr,L2/3,62.8,169.3,252.0,1
20116,L4_exc,L4,357.8,499.6,153.3,1
20117,L6_pyr,L6,110.7,821.1,33.8,1
20118,martinotti,L6,31.3,934.8,379.3,1
20119,L5_pyr,L5,124.3,718.0,48.1,1
20120,L4_exc,L4,264.3,467.3,322.4,1
20121,L23_pyr,L2/3,133.6,122.6,138.4,1
20122,L23_pyr,L2/3,207.0,117.3,339.4,1
20123,L6_pyr,L6,104.9,775.9,131.2,1
20124,L23_pyr,L2/3,297.2,296.0,69.4,1
20125,vip,L4,201.8,352.5,277.7,1
20126,L5_pyr,L5,142.6,506.4,90.2,1
20127,vip,L5,192.9,697.3,288.9,1
20128,L23_pyr,L2/3,30.2,131.5,330.2,1
20129,vip,L2/3,35.3,183.7,158.6,1
20130,L4_exc,L4,51.9,371.0,25.6,1
20131,L4_exc,L4,99.9,361.2,234.7,1
20132,L23_pyr,L2/3,80.8,201.5,235.2,1
20133,L6_pyr,L6,255.8,857.5,89.9,1
20134,L5_pyr,L5,67.3,686.7,242.6,1
20135,L4_exc,L4,252.1,393.9,342.2,1
20136,neurogliaform,L1,280.7,18.7,13.6,1
20137,L23_pyr,L2/3,250.8,255.0,184.5,1
20138,L6_pyr,L6,152.7,907.2,179.5,1
20139,L6_pyr,L6,334.7,787.2,220.0,1
20140,L4_exc,L4,80.1,400.4,95.6,1
20141,L6_pyr,L6,255.1,878.6,179.3,1
20142,L4_exc,L4,160.4,392.5,138.6,1
20143,L6_pyr,L6,56.2,862.3,261.9,1
20144,L6_pyr,L6,37.5,941.8,233.0,1
20145,L4_exc,L4,39.1,460.4,30.2,1
20146,L5_pyr,L5,199.5,640.5,257.3,1
20147,L5_pyr,L5,265.7,503.7,228.2,1
20148,basket,L4,227.0,389.8,230.6,1
