node_id,cell_type,layer,soma_x_um,soma_y_um,soma_z_um
30001,basket,L4,120.9,481.1,226.9
30002,basket,L4,270.0,413.4,100.8
30003,L23_pyr,L2/3,85.4,238.1,133.6
30004,L4_exc,L4,76.9,353.2,280.7
30005,L23_pyr,L2/3,358.7,123.1,15.5
30006,L23_pyr,L2/3,357.1,221.9,357.3
30007,L4_exc,L4,29.5,357.2,349.6
30008,L23_pyr,L2/3,101.5,191.4,282.0
30009,martinotti,L4,248.0,355.0,189.2
30010,basket,L2/3,156.0,151.0,104.6
30011,L23_pyr,L2/3,299.3,174.3,243.6
30012,martinotti,L4,381.9,478.0,351.8
30013,L23_pyr,L2/3,396.4,196.1,195.0
30014,L23_pyr,L2/3,312.8,102.8,240.2
30015,L4_exc,L4,83.7,425.6,282.5
30016,L23_pyr,L2/3,390.9,295.2,368.9
30017,L23_pyr,L2/3,87.8,291.1,241.1
30018,L4_exc,L4,356.2,391.1,212.4
30019,L4_exc,L4,0.8,451.2,190.2
30020,martinotti,L2/3,197.0,239.9,317.8
30021,L4_exc,L4,3.4,499.5,205.3
30022,vip,L4,375.1,434.1,230.9
30023,L4_exc,L4,114.3,400.2,85.2
30024,basket,L4,388.2,422.7,214.9
30025,L4_exc,L4,181.6,385.4,263.2
30026,L23_pyr,L2/3,295.6,171.6,247.3
30027,L23_pyr,L2/3,258.3,315.4,285.7
30028,L23_pyr,L2/3,398.8,136.8,224.7
30029,L23_pyr,L2/3,304.3,257.6,31.7
30030,martinotti,L2/3,323.3,160.7,89.9
30031,L4_exc,L4,391.1,354.5,45.7
30032,basket,L4,58.3,388.3,220.1
30033,L4_exc,L4,362.5,379.2,365.3
30034,basket,L2/3,113.8,329.2,286.4
30035,L23_pyr,L2/3,38.2,331.3,137.4
30036,L23_pyr,L2/3,112.6,302.9,355.6
30037,L4_exc,L4,138.0,440.9,35.1
30038,L23_pyr,L2/3,377.9,147.1,169.4
30039,L4_exc,L4,124.5,470.3,23.6
30040,L4_exc,L4,222.1,427.1,249.9
30041,basket,L4,169.9,485.4,87.8
30042,L4_exc,L4,33.7,457.4,131.2
30043,L23_pyr,L2/3,266.0,277.9,354.9
30044,L4_exc,L4,338.0,471.9,364.7
30045,L23_pyr,L2/3,292.7,294.3,119.5
30046,martinotti,L4,255.2,463.3,202.2
30047,basket,L4,300.3,499.1,46.2
30048,L23_pyr,L2/3,145.0,263.8,279.1
