synapse_id,pre_id,post_id,compartment,gray_type
58,30002,30174,soma,symmetric
59,30002,30174,proximal_dendrite,symmetric
69,30002,30192,soma,symmetric
70,30002,30192,proximal_dendrite,symmetric
393,30024,30188,soma,symmetric
394,30024,30188,soma,symmetric
395,30024,30188,distal_dendrite,symmetric
396,30024,30197,proximal_dendrite,symmetric
397,30024,30197,distal_dendrite,symmetric
398,30024,30197,soma,symmetric
779,30051,30160,proximal_dendrite,asymmetric
780,30051,30160,soma,uncertain
781,30051,30160,proximal_dendrite,asymmetric
1722,30121,30024,proximal_dendrite,asymmetric
1731,30121,30151,spine,asymmetric
1732,30121,30160,distal_dendrite,asymmetric
1940,30134,30024,distal_dendrite,symmetric
2244,30151,30002,distal_dendrite,asymmetric
2245,30151,30002,distal_dendrite,asymmetric
2264,30151,30179,proximal_dendrite,asymmetric
2265,30151,30179,proximal_dendrite,asymmetric
2266,30151,30179,distal_dendrite,asymmetric
2267,30151,30179,soma,asymmetric
2411,30160,30151,soma,symmetric
2413,30160,30165,soma,symmetric
2418,30160,30197,uncertain,uncertain
2419,30160,30197,distal_dendrite,symmetric
2420,30160,30197,proximal_dendrite,symmetric
2478,30165,30002,proximal_dendrite,asymmetric
2479,30165,30024,soma,asymmetric
2511,30167,30134,soma,asymmetric
2512,30167,30134,proximal_dendrite,asymmetric
2513,30167,30160,distal_dendrite,asymmetric
2514,30167,30160,soma,asymmetric
2515,30167,30160,proximal_dendrite,asymmetric
2594,30174,30179,soma,asymmetric
2595,30174,30179,soma,asymmetric
2655,30179,30024,soma,symmetric
2656,30179,30024,soma,symmetric
2672,30179,30165,proximal_dendrite,symmetric
2673,30179,30165,proximal_dendrite,symmetric
2831,30188,30056,proximal_dendrite,asymmetric
2832,30188,30056,proximal_dendrite,asymmetric
2877,30192,30160,proximal_dendrite,asymmetric
2878,30192,30160,proximal_dendrite,uncertain
2879,30192,30160,distal_dendrite,asymmetric
2880,30192,30160,soma,asymmetric
2956,30197,30192,spine,asymmetric
2957,30197,30192,proximal_dendrite,asymmetric
2958,30197,30192,spine,asymmetric
