synapse_id,pre_id,post_id,compartment,gray_type,x_um,y_um,z_um
1,30001,30036,soma,symmetric,69.9,310.3,373.5
2,30001,30036,uncertain,uncertain,138.0,303.3,326.0
3,30001,30036,soma,symmetric,55.7,313.8,315.2
4,30001,30036,soma,symmetric,91.6,354.7,392.4
5,30001,30036,uncertain,uncertain,138.1,335.7,405.7
6,30001,30036,proximal_dendrite,symmetric,39.7,292.1,341.5
7,30001,30060,soma,symmetric,132.6,490.5,423.9
8,30001,30084,soma,symmetric,373.2,407.6,77.5
9,30001,30084,soma,symmetric,341.2,439.8,64.8
10,30001,30084,soma,symmetric,454.2,426.2,105.6
11,30001,30084,soma,symmetric,295.3,418.1,173.8
12,30001,30084,soma,symmetric,380.1,479.7,96.5
13,30001,30089,distal_dendrite,symmetric,22.6,214.3,289.3
14,30001,30093,proximal_dendrite,symmetric,229.3,270.3,16.0
15,30001,30093,proximal_dendrite,symmetric,241.3,248.9,-45.9
16,30001,30100,distal_dendrite,symmetric,69.5,197.8,174.6
17,30001,30105,soma,symmetric,351.3,345.5,121.6
18,30001,30105,soma,symmetric,350.7,337.4,154.9
19,30001,30106,soma,symmetric,53.5,468.0,425.5
20,30001,30106,uncertain,uncertain,-1.7,519.2,416.5
21,30001,30106,soma,symmetric,61.8,502.9,402.3
22,30001,30106,distal_dendrite,symmetric,71.2,449.4,375.7
23,30001,30108,proximal_dendrite,symmetric,224.6,408.2,92.4
24,30001,30122,proximal_dendrite,symmetric,137.4,427.4,48.2
25,30001,30129,soma,symmetric,121.0,286.9,155.6
26,30001,30129,soma,uncertain,154.7,297.6,150.1
27,30001,30130,soma,symmetric,38.4,410.5,285.2
28,30001,30146,soma,symmetric,137.1,489.1,350.6
29,30001,30156,distal_dendrite,symmetric,218.2,475.9,150.9
30,30001,30172,proximal_dendrite,symmetric,411.1,312.6,218.6
31,30001,30173,proximal_dendrite,symmetric,178.0,134.6,386.7
32,30001,30173,soma,symmetric,180.0,257.0,306.5
33,30001,30173,soma,uncertain,184.7,189.9,379.5
34,30001,30174,distal_dendrite,uncertain,374.9,379.0,263.1
35,30001,30192,soma,symmetric,409.9,311.9,60.6
36,30001,30199,soma,symmetric,211.2,196.4,185.8
37,30001,30199,soma,symmetric,160.0,235.3,100.6
38,30002,30003,soma,symmetric,85.7,252.2,115.5
39,30002,30040,proximal_dendrite,symmetric,237.4,436.5,249.4
40,30002,30072,proximal_dendrite,symmetric,33.5,506.0,343.8
