fragment_id,parent_neuron_id,block_100um,proofread_batch,x_um,y_um,path_length_um,caliber_mean_um,caliber_var,branch_count,tortuosity,pre_synapses,post_synapses,mito_volume_fraction,mean_intensity,label,contains_error
F0001,40366,0-3,B4,37.6,358.7,26.5,0.342,0.0263,5,0.947,0,2,0.33,113.0,smooth_dendrite,1
F0002,40149,1-1,B5,189.5,112.3,10.0,0.306,0.0445,2,0.313,1,6,0.131,128.0,spiny_dendrite,0
F0003,40068,7-0,B5,755.1,7.6,23.1,0.463,0.0223,2,2.47,5,1,0.048,135.8,axon,0
F0004,40513,7-5,B2,788.3,598.7,51.3,0.696,0.0813,2,1.311,0,0,0.026,119.3,glia_process,0
F0005,40121,6-1,B6,651.8,121.4,42.9,0.193,0.2314,15,0.587,1,2,0.118,111.6,merged_object,1
F0006,40085,5-0,B4,558.7,4.6,44.5,1.741,0.0346,14,1.293,1,5,0.177,121.4,spiny_dendrite,0
F0007,40389,4-3,B1,473.9,373.1,6.7,0.594,0.2321,1,2.51,1,11,0.194,104.4,smooth_dendrite,0
F0008,40138,0-1,B3,7.1,146.7,62.1,0.121,0.049,2,0.73,2,2,0.159,144.3,axon,0
F0009,40524,0-1,B4,32.9,163.3,69.0,0.928,0.1024,1,4.216,2,3,0.047,140.7,merged_object,1
F0010,40531,2-6,B3,247.0,691.4,41.3,0.36,0.0554,3,1.372,0,1,0.015,109.3,glia_process,0
F0011,40209,5-5,B3,539.9,572.6,27.7,0.508,0.0411,4,1.349,2,4,0.235,107.3,spiny_dendrite,0
F0012,40161,3-0,B4,324.8,0.7,28.8,0.098,0.0083,1,2.302,4,1,0.068,123.9,axon,0
F0013,40394,5-6,B5,560.5,697.4,50.0,2.099,0.0047,1,2.405,3,1,0.063,133.9,axon,0
F0014,40061,6-2,B6,652.0,286.6,127.3,0.311,0.0505,4,1.211,1,2,0.118,125.1,spiny_dendrite,0
F0015,40388,0-2,B6,21.1,240.3,55.0,0.112,0.0245,2,1.002,0,8,0.072,126.4,smooth_dendrite,0
F0016,40297,3-3,B4,342.9,395.7,11.6,0.639,0.1987,3,1.915,1,3,0.072,105.1,spiny_dendrite,1
F0017,40369,1-5,B2,188.6,502.2,19.9,1.08,0.0176,2,1.493,1,3,0.236,111.3,smooth_dendrite,1
F0018,40205,2-6,B5,293.5,658.1,25.1,0.241,0.1059,10,1.235,0,6,0.103,104.4,spiny_dendrite,1
F0019,40394,5-6,B5,539.8,691.2,35.6,2.013,0.0055,1,2.051,2,2,0.076,134.8,axon,0
F0020,40292,1-0,B1,123.7,39.8,56.8,0.496,0.0187,4,2.093,1,3,0.259,111.5,spiny_dendrite,0
F0021,40376,7-6,B2,712.7,677.1,25.9,0.12,0.0116,2,0.484,3,0,0.069,118.6,axon,0
F0022,40103,1-3,B3,199.9,324.4,28.4,0.32,0.0424,5,1.207,4,2,0.043,156.0,axon,0
F0023,40332,5-4,B2,565.3,412.0,24.3,1.448,0.0437,2,2.819,1,12,0.174,129.8,smooth_dendrite,1
F0024,40322,5-5,B2,591.4,536.9,25.5,0.326,0.0265,4,3.893,2,3,0.058,111.0,axon,0
F0025,40002,5-6,B5,521.7,698.9,12.4,0.227,0.0225,9,1.681,5,2,0.206,128.7,axon,0
F0026,40219,2-5,B6,215.2,525.5,38.1,0.334,0.0038,1,0.39,1,1,0.06,125.8,axon,0
F0027,40588,2-5,B6,272.0,571.8,30.3,0.313,0.1183,11,0.532,1,0,0.021,106.1,glia_process,1
F0028,40247,7-6,B2,708.0,612.5,8.8,0.958,0.0318,3,4.142,1,8,0.146,115.2,spiny_dendrite,0
F0029,40101,2-2,B3,216.9,253.6,25.1,0.42,0.0086,5,1.144,2,2,0.019,112.3,axon,0
F0030,40252,7-2,B3,706.9,231.6,24.9,1.487,0.0235,1,0.746,1,9,0.065,113.1,spiny_dendrite,0
F0031,40553,5-5,B2,572.7,516.9,12.9,0.573,0.2498,2,1.108,1,1,0.019,106.3,glia_process,0
F0032,40096,3-2,B1,379.3,234.3,44.2,0.333,0.0304,1,2.471,11,0,0.074,126.4,axon,0
F0033,40335,1-6,B3,196.3,675.1,34.4,0.432,0.0365,6,0.81,13,1,0.034,126.6,axon,0
F0034,40289,6-4,B1,688.2,403.6,18.7,0.874,0.0095,3,1.553,2,1,0.047,109.3,axon,0
F0035,40440,6-3,B2,687.2,386.9,9.8,0.11,0.0498,6,0.98,1,7,0.356,103.0,smooth_dendrite,0
F0036,40550,6-1,B4,684.8,131.2,81.5,1.785,0.1056,9,0.28,2,12,0.02,106.8,merged_object,1
F0037,40331,0-1,B5,94.1,107.0,77.9,0.294,0.0308,3,0.437,0,9,0.048,137.5,smooth_dendrite,0
F0038,40072,7-5,B1,733.2,562.5,11.9,0.353,0.0303,3,1.283,5,2,0.098,112.0,axon,0
F0039,40536,1-3,B3,122.8,358.3,18.5,0.497,0.0691,4,0.741,0,0,0.058,148.0,glia_process,0
F0040,40017,2-4,B3,279.7,428.1,67.1,1.393,0.0168,2,0.667,0,5,0.076,114.6,spiny_dendrite,0
F0041,40132,1-1,B1,197.5,196.9,25.2,0.24,0.0486,1,3.009,3,1,0.14,135.3,axon,0
F0042,40348,0-3,B5,62.9,314.6,8.7,0.251,0.0569,9,4.63,0,3,0.056,112.6,smooth_dendrite,1
F0043,40200,1-7,B3,167.1,702.6,64.9,0.368,0.0413,4,0.497,5,0,0.085,109.1,axon,0
F0044,40416,6-7,B1,633.0,721.1,34.1,1.852,0.0503,4,0.664,1,1,0.04,134.6,smooth_dendrite,0
F0045,40004,6-1,B5,691.9,194.5,30.1,0.255,0.0183,2,0.504,1,6,0.063,107.1,spiny_dendrite,0
F0046,40189,1-0,B3,197.9,8.0,32.4,1.238,0.0629,4,2.426,0,3,0.194,113.8,spiny_dendrite,0
F0047,40070,5-5,B6,568.5,591.4,77.4,0.372,0.0157,9,0.679,1,25,0.029,115.3,spiny_dendrite,0
F0048,40413,3-0,B4,314.5,66.5,46.8,1.46,0.0653,2,2.329,1,1,0.051,123.1,smooth_dendrite,0
F0049,40147,0-0,B4,18.1,48.7,41.5,0.182,0.0122,4,0.724,1,3,0.022,125.0,axon,0
F0050,40192,5-3,B6,517.5,342.3,75.3,0.267,0.0203,5,3.58,2,0,0.023,115.6,axon,0
F0051,40341,1-4,B1,100.5,486.3,54.2,0.269,0.1582,1,0.332,0,2,0.069,116.7,smooth_dendrite,0
F0052,40360,4-0,B4,498.4,14.8,11.1,1.005,0.0081,2,1.071,6,0,0.211,122.7,axon,0
