fragment_id,parent_neuron_id,block_100um,proofread_batch,x_um,y_um,path_length_um,caliber_mean_um,caliber_var,branch_count,tortuosity,pre_synapses,post_synapses,mito_volume_fraction,mean_intensity,label,contains_error
H0001,90115,domain2,D2,,,30.4,0.371,0.0435,2,1.041,0,3,0.095,89.5,smooth_dendrite,0
H0002,90075,domain2,D2,,,55.1,0.211,0.0269,2,1.388,2,1,0.048,102.2,axon,0
H0003,90112,domain2,D2,,,28.8,0.829,0.0601,2,1.522,1,13,0.071,90.2,spiny_dendrite,0
H0004,90137,domain2,D2,,,64.4,0.368,0.0084,1,1.098,3,1,0.037,95.4,axon,0
H0005,90012,domain2,D2,,,69.8,1.004,0.1312,7,1.779,1,0,0.031,89.4,glia_process,0
H0006,90008,domain2,D2,,,6.2,0.296,0.0311,2,1.328,5,1,0.027,92.3,axon,0
H0007,90036,domain2,D2,,,22.9,0.226,0.0272,4,2.22,10,2,0.019,93.6,axon,0
H0008,90040,domain2,D2,,,27.9,0.352,0.1298,3,2.201,0,6,0.043,96.6,spiny_dendrite,0
H0009,90040,domain2,D2,,,14.4,2.203,0.0374,5,2.612,1,2,0.094,89.6,spiny_dendrite,0
H0010,90005,domain2,D2,,,33.5,0.462,0.0165,3,1.628,2,2,0.024,107.2,axon,0
H0011,90137,domain2,D2,,,30.2,0.953,0.013,4,1.743,2,1,0.106,76.9,axon,0
H0012,90053,domain2,D2,,,34.8,0.588,0.0296,2,1.79,1,11,0.063,88.1,spiny_dendrite,1
H0013,90147,domain2,D2,,,31.8,0.568,0.0344,2,2.412,1,3,0.046,102.1,spiny_dendrite,1
H0014,90141,domain2,D2,,,34.1,0.357,0.03,2,1.627,3,1,0.045,85.6,axon,1
H0015,90019,domain2,D2,,,94.3,0.488,0.0178,3,1.728,2,0,0.026,87.5,axon,1
H0016,90082,domain2,D2,,,66.1,0.712,0.0374,4,0.855,0,10,0.05,94.5,spiny_dendrite,1
H0017,90016,domain2,D2,,,37.9,0.294,0.0347,2,4.795,1,1,0.071,90.2,smooth_dendrite,1
H0018,90107,domain2,D2,,,17.9,0.52,0.0114,3,1.148,3,3,0.04,105.7,axon,0
H0019,90038,domain2,D2,,,14.8,0.243,0.0126,1,0.228,2,2,0.027,91.5,axon,0
H0020,90104,domain2,D2,,,66.0,0.359,0.0121,2,1.116,3,0,0.02,94.8,axon,0
H0021,90140,domain2,D2,,,67.2,0.308,0.03,2,1.006,2,3,0.014,100.4,axon,0
H0022,90062,domain2,D2,,,32.9,0.729,0.0259,3,0.762,0,4,0.078,92.9,spiny_dendrite,1
H0023,90026,domain2,D2,,,65.1,0.567,0.0342,4,1.513,1,1,0.041,95.3,axon,0
H0024,90081,domain2,D2,,,30.4,0.428,0.0235,3,0.495,2,0,0.063,94.5,axon,0
