case_id,cause
FC01,genuine ambiguity
FC02,section loss
FC03,genuine ambiguity
FC04,weak stain
FC05,section loss
FC06,thin neurite
FC07,fold
FC08,thin neurite
FC09,thin neurite
FC10,fold
FC11,weak stain
FC12,genuine ambiguity
FC13,weak stain
FC14,section loss
FC15,weak stain
FC16,section loss
FC17,genuine ambiguity
FC18,thin neurite
FC19,weak stain
FC20,weak stain
FC21,fold
FC22,fold
FC23,genuine ambiguity
FC24,fold
FC25,genuine ambiguity
FC26,weak stain
FC27,thin neurite
FC28,genuine ambiguity
FC29,section loss
FC30,fold
