pre_type,L23_01,L23_02,L23_03,L23_04,L23_05,L23_06,L23_07,L23_08,L23_09,L23_10,L4_01,L4_02,L4_03,L4_04,L4_05,L4_06,L4_07,L4_08,L4_09,L4_10,L5_01,L5_02,L5_03,L5_04,L5_05,L5_06,L5_07,L5_08,L5_09,L5_10,L6_01,L6_02,L6_03,L6_04,L6_05,L6_06,L6_07,L6_08,L6_09,L6_10,INH_01,INH_02,INH_03,INH_04,INH_05,INH_06,INH_07,INH_08,INH_09,INH_10
L23_01,87,35,41,37,41,9,75,70,89,34,8,4,6,15,2,12,12,4,15,6,5,0,2,2,4,22,17,8,4,4,7,9,5,4,2,22,5,22,22,4,6,10,16,1,20,39,18,9,8,21
L23_02,70,32,20,29,59,43,18,93,26,26,7,3,3,5,12,15,11,27,2,15,15,1,4,2,1,1,3,8,3,3,14,9,7,6,8,24,9,4,5,4,14,18,45,14,48,46,17,40,7,16
L23_03,27,21,35,46,64,45,52,36,40,20,5,11,9,8,13,4,13,4,7,2,4,13,26,6,13,2,15,1,3,3,3,10,0,2,0,12,4,10,12,3,14,50,23,9,81,23,17,13,11,16
L23_04,14,6,62,41,52,33,106,36,81,20,3,0,3,17,20,1,4,2,1,1,6,12,4,4,7,11,4,5,4,12,3,17,4,2,4,6,5,6,20,0,31,15,52,19,18,32,19,19,26,102
L23_05,3,55,28,72,9,87,107,14,26,76,10,3,3,3,7,9,4,19,3,4,10,1,14,15,19,16,14,4,12,2,9,11,7,4,1,1,9,3,0,14,22,24,58,11,25,19,21,71,11,16
L23_06,31,35,19,16,193,68,21,137,78,32,8,8,6,1,4,9,9,12,12,16,0,8,0,4,8,4,6,15,4,9,17,15,4,4,5,1,9,16,6,6,43,16,12,19,7,21,30,95,14,37
L23_07,53,47,35,50,29,8,49,63,34,248,4,7,6,7,9,12,0,11,4,11,6,13,3,5,4,1,9,5,12,10,10,6,12,0,8,1,3,10,15,2,23,7,37,12,25,34,21,35,21,8
L23_08,40,57,25,39,36,83,65,61,15,54,20,16,4,3,5,3,4,30,7,6,11,5,2,8,6,9,6,7,15,7,9,7,8,7,6,2,17,7,7,12,8,9,69,7,13,45,24,15,89,7
L23_09,31,72,48,79,77,66,75,37,34,58,4,1,8,10,5,3,4,10,11,3,7,3,4,9,14,16,8,11,1,4,7,22,6,2,5,38,2,7,9,3,115,34,51,26,8,13,51,44,24,41
L23_10,123,50,20,39,34,6,93,171,42,20,2,9,7,9,11,6,11,4,1,4,2,13,12,9,2,7,11,18,5,22,6,2,3,7,11,5,7,13,22,8,23,12,12,10,35,27,17,13,23,99
L4_01,5,16,5,13,10,10,9,1,2,2,28,16,26,61,18,26,84,66,27,15,12,0,12,5,4,1,6,16,1,13,2,9,7,18,14,3,12,8,2,3,34,123,9,22,10,20,18,58,28,7
L4_02,22,4,4,3,11,4,18,12,18,14,32,158,64,64,30,33,20,39,80,37,6,3,2,20,8,4,2,8,5,11,9,18,17,4,10,24,3,13,5,20,22,21,12,9,5,7,14,24,68,105
L4_03,11,14,3,8,3,5,6,1,5,0,54,43,50,30,47,25,58,45,14,37,5,26,2,25,22,8,1,1,9,5,12,6,50,6,4,5,9,11,2,4,14,39,13,10,14,27,31,14,57,11
L4_04,7,18,14,22,7,15,7,4,9,3,37,60,22,20,36,78,35,36,19,38,12,1,5,4,14,11,8,5,11,10,6,3,14,4,1,3,6,7,3,13,53,14,16,18,16,74,21,15,8,8
L4_05,9,1,13,15,10,11,0,6,10,12,294,66,29,32,7,18,44,70,44,185,23,5,7,10,4,20,4,6,6,6,5,9,7,7,19,5,16,11,6,7,43,7,9,34,33,25,39,28,39,16
L4_06,2,1,2,2,10,2,3,20,10,2,91,17,29,41,25,256,24,78,70,14,10,10,9,3,1,3,12,11,11,11,1,4,10,4,8,11,5,16,9,14,19,22,19,35,3,16,48,22,2,54
L4_07,7,8,4,7,3,5,13,4,6,5,14,21,137,14,57,14,36,80,3,44,8,10,10,5,3,6,10,10,13,7,6,5,18,4,5,29,25,0,2,3,51,12,4,34,13,20,21,20,107,16
L4_08,6,9,8,10,7,8,7,19,4,1,69,12,42,62,22,83,36,108,7,77,16,4,12,2,3,8,19,14,4,4,5,7,6,16,7,9,7,0,5,6,20,28,7,56,86,20,13,17,15,7
L4_09,6,3,21,8,5,1,9,27,12,12,17,68,21,43,25,30,64,47,24,27,7,5,5,12,9,12,8,6,4,7,18,16,7,3,2,6,3,5,6,13,14,73,40,28,19,7,28,32,18,32
L4_10,11,5,36,11,6,2,10,8,16,6,52,29,33,26,36,16,18,31,31,46,6,4,10,9,23,4,10,6,15,7,18,7,7,12,14,7,9,6,1,6,55,14,66,30,15,18,3,36,22,44
L5_01,3,3,3,4,2,24,2,43,17,5,6,6,19,10,7,3,1,6,5,3,34,42,28,61,56,30,40,49,41,22,97,6,6,6,6,4,13,3,5,5,9,27,61,49,57,29,31,44,10,58
L5_02,6,8,4,12,5,5,2,10,21,7,17,11,6,11,10,2,11,1,12,4,53,19,147,51,15,42,12,13,25,98,1,13,2,11,11,17,8,3,0,23,41,11,74,32,11,18,16,18,33,36
L5_03,19,5,7,4,4,37,6,15,2,4,3,6,8,4,6,12,3,6,10,6,25,65,36,9,34,10,82,115,32,4,3,26,5,6,1,11,5,8,14,4,13,51,3,8,33,8,37,12,6,14
L5_04,8,20,10,44,12,0,3,6,8,8,13,18,12,5,9,13,8,12,4,9,83,174,46,30,99,13,93,29,66,7,2,3,12,1,23,6,8,3,23,9,13,38,24,43,37,39,37,22,11,5
L5_05,1,2,11,7,8,11,1,15,1,23,11,9,7,16,0,5,8,6,15,13,91,59,23,42,71,12,32,58,46,59,1,5,9,4,31,5,8,3,13,2,29,14,13,12,13,42,73,41,36,17
