pre_type,L23_01,L23_02,L23_03,L23_04,L23_05,L23_06,L23_07,L23_08,L23_09,L23_10,L4_01,L4_02,L4_03,L4_04,L4_05,L4_06,L4_07,L4_08,L4_09,L4_10,L5_01,L5_02,L5_03,L5_04,L5_05,L5_06,L5_07,L5_08,L5_09,L5_10,L6_01,L6_02,L6_03,L6_04,L6_05,L6_06,L6_07,L6_08,L6_09,L6_10,INH_01,INH_02,INH_03,INH_04,INH_05,INH_06,INH_07,INH_08,INH_09,INH_10
L23_01,229,87,108,96,104,24,218,186,230,87,20,8,14,41,6,38,37,14,36,16,13,0,3,3,7,48,45,19,13,9,18,40,13,7,5,59,21,66,51,17,15,31,41,4,50,99,49,19,16,49
L23_02,191,80,56,88,146,118,41,242,76,57,21,8,5,13,29,31,31,55,5,36,36,1,8,4,3,2,8,19,6,6,33,20,24,16,20,61,25,9,7,10,35,43,113,28,125,138,49,109,16,42
L23_03,73,52,95,123,155,114,147,74,114,58,16,29,28,22,40,10,29,16,23,5,7,34,66,12,42,5,43,2,10,7,7,27,0,5,0,44,13,26,26,7,37,130,50,27,205,47,58,41,22,41
L23_04,44,12,163,107,127,89,280,104,216,47,8,0,7,50,49,1,14,4,1,4,20,34,16,10,23,32,7,16,12,34,7,50,7,3,11,13,12,17,52,0,97,37,131,47,52,81,52,48,75,264
L23_05,7,135,73,182,27,217,264,34,68,194,23,9,6,12,19,21,15,52,11,7,25,1,30,38,51,41,37,9,39,5,23,32,22,9,3,3,27,9,0,37,51,63,147,21,77,49,59,197,25,40
L23_06,70,91,50,45,475,188,49,353,201,85,23,22,17,3,9,24,18,24,33,48,0,20,0,12,18,9,20,31,7,22,40,51,6,13,11,3,22,41,12,15,117,35,34,54,18,55,68,237,37,87
L23_07,135,130,104,115,70,18,131,173,91,638,12,12,15,18,18,34,0,26,9,26,13,33,12,12,14,2,23,16,30,20,27,15,31,0,22,2,10,22,35,5,52,21,99,32,66,90,45,97,57,20
L23_08,101,140,71,103,73,218,171,173,39,137,50,44,11,10,13,5,12,78,24,18,33,13,8,15,15,19,11,19,39,25,23,22,19,26,14,3,43,18,17,25,13,19,190,18,29,119,59,40,220,16
L23_09,79,190,114,188,212,172,177,87,91,147,14,2,26,20,17,8,8,29,32,9,15,8,7,21,38,37,19,32,2,13,16,55,13,2,10,96,2,15,28,8,285,68,134,67,19,35,130,115,76,106
L23_10,321,130,46,103,86,13,254,458,119,52,6,17,21,29,30,21,27,13,3,13,6,35,37,22,4,16,26,45,12,55,16,8,11,14,33,13,19,26,55,19,58,35,28,24,83,75,52,45,56,274
L4_01,18,43,11,27,31,20,21,3,3,4,65,42,63,160,52,75,238,159,71,41,34,0,34,13,12,4,18,45,2,40,7,25,15,44,36,4,32,25,5,12,88,316,27,58,23,47,41,155,74,20
L4_02,55,13,12,14,23,7,51,24,47,44,80,414,147,160,79,85,57,104,221,103,16,8,7,51,19,8,4,20,11,25,21,43,38,9,23,57,8,37,13,52,45,56,28,26,10,22,42,62,178,274
L4_03,33,36,10,21,6,9,22,3,15,0,163,105,131,71,113,63,158,112,30,101,13,58,6,58,52,15,4,2,26,14,31,19,114,15,11,16,27,25,7,6,33,103,33,23,34,69,80,31,139,37
L4_04,21,50,44,49,19,33,15,9,25,7,98,166,63,56,87,214,92,85,50,91,29,2,13,9,39,30,24,11,26,22,16,5,29,6,3,10,15,13,5,33,152,34,53,49,42,198,56,34,18,19
L4_05,22,2,44,44,28,27,0,13,29,40,748,160,65,79,18,45,113,180,120,492,50,12,17,27,9,50,11,15,18,15,7,35,27,19,53,17,39,27,20,15,117,22,19,87,82,66,101,57,114,38
L4_06,5,1,6,9,21,6,6,53,31,4,237,47,82,116,61,657,57,211,188,39,20,23,24,6,5,6,38,34,29,29,2,15,33,8,20,30,13,45,26,36,45,54,56,92,7,56,123,53,5,145
L4_07,17,20,8,18,6,15,43,7,13,12,39,53,342,37,155,40,86,203,5,105,18,24,26,12,8,17,29,20,37,17,16,15,44,9,13,77,71,0,6,10,138,33,13,91,41,53,53,54,293,34
L4_08,13,23,17,26,21,18,18,48,9,3,197,39,121,145,53,213,84,281,19,194,40,11,29,6,10,23,47,46,13,12,15,17,14,48,15,26,22,0,9,17,62,75,16,147,231,61,37,54,31,13
L4_09,16,12,49,23,13,2,32,73,31,36,39,157,46,143,67,79,170,117,69,68,17,12,11,28,19,34,17,18,11,16,44,48,19,7,4,8,9,19,11,28,38,200,107,70,43,20,72,98,39,94
L4_10,35,13,102,28,11,8,23,15,35,15,127,74,80,72,96,45,55,85,86,137,16,15,32,22,67,12,26,11,38,25,40,15,29,38,36,19,18,18,2,11,138,37,164,86,46,37,8,105,55,120
L5_01,8,9,8,7,3,53,8,122,44,12,18,23,58,26,19,6,3,15,17,12,77,120,81,171,162,87,112,115,99,64,253,12,15,11,13,11,35,7,13,16,19,70,167,137,137,79,72,120,30,156
L5_02,19,23,12,29,11,20,6,23,46,19,51,31,17,24,32,3,26,4,32,14,154,52,376,131,42,113,33,34,61,258,2,31,6,30,29,40,21,4,0,66,97,26,179,93,29,40,30,40,79,90
L5_03,50,15,22,9,10,97,9,41,5,8,4,20,19,18,21,28,9,11,23,19,65,155,105,23,90,24,198,312,91,11,6,65,11,21,3,32,15,24,36,14,28,135,8,20,98,20,97,34,15,44
L5_04,23,57,25,113,35,0,12,13,21,19,30,37,30,14,22,33,26,34,11,29,218,456,126,75,239,34,252,68,178,22,8,13,35,3,59,18,27,7,62,31,37,105,62,111,98,97,95,52,30,10
L5_05,4,6,40,19,17,23,2,39,1,67,27,24,23,42,0,15,21,15,47,30,227,148,61,105,171,31,91,146,122,169,1,12,31,7,85,12,25,10,38,7,73,35,30,27,33,112,196,101,101,32
L5_06,14,29,5,117,16,7,11,9,27,15,9,64,26,6,37,18,102,7,12,30,93,146,110,54,363,172,191,82,163,48,2,7,12,22,67,11,21,6,22,19,51,52,65,52,27,60,69,37,145,43
L5_07,36,30,14,30,36,12,12,17,7,33,27,20,16,29,23,14,54,80,20,6,421,67,20,101,209,28,238,34,107,45,17,16,0,32,7,74,21,34,30,29,52,41,128,8,13,31,89,157,161,122
L5_08,21,17,10,46,28,38,20,16,1,31,18,34,47,17,33,41,34,24,1,16,713,270,198,203,121,84,286,34,74,61,3,3,9,26,5,13,94,26,12,44,93,21,91,106,118,149,89,18,39,26
L5_09,2,4,34,0,11,8,14,22,3,27,18,27,9,44,10,75,4,3,44,40,128,73,218,40,1089,94,197,146,38,147,5,57,34,59,7,21,8,4,2,18,388,41,37,106,128,41,203,19,126,71
L5_10,6,17,0,9,25,38,8,19,13,6,25,7,2,70,47,9,25,37,15,19,382,267,66,17,346,108,49,80,43,43,5,27,20,4,21,7,41,6,42,17,54,25,135,72,65,49,47,110,48,23
