neuron_id,layer,input_synapses
L23-01,L2/3,1208
L23-02,L2/3,511
L23-03,L2/3,1532
L23-04,L2/3,1164
L23-05,L2/3,479
L23-06,L2/3,1556
L23-07,L2/3,666
L23-08,L2/3,582
L23-09,L2/3,1291
L23-10,L2/3,1068
L23-11,L2/3,868
L23-12,L2/3,1094
L23-13,L2/3,1148
L23-14,L2/3,835
L23-15,L2/3,760
L23-16,L2/3,855
L23-17,L2/3,788
L23-18,L2/3,887
L23-19,L2/3,529
L23-20,L2/3,1008
L23-21,L2/3,1098
L23-22,L2/3,1607
L23-23,L2/3,961
L23-24,L2/3,1191
L23-25,L2/3,1128
L23-26,L2/3,757
L23-27,L2/3,668
L23-28,L2/3,397
L23-29,L2/3,582
L23-30,L2/3,763
L23-31,L2/3,1256
L23-32,L2/3,607
L23-33,L2/3,699
L23-34,L2/3,577
L23-35,L2/3,1578
L23-36,L2/3,975
L23-37,L2/3,671
L23-38,L2/3,565
L23-39,L2/3,571
L23-40,L2/3,1615
L4-01,L4,1089
L4-02,L4,992
L4-03,L4,1608
L4-04,L4,1927
L4-05,L4,840
L4-06,L4,1175
L4-07,L4,1135
L4-08,L4,1078
L4-09,L4,2336
L4-10,L4,703
L4-11,L4,1034
L4-12,L4,1069
L4-13,L4,1289
L4-14,L4,741
L4-15,L4,536
L4-16,L4,1388
L4-17,L4,1143
L4-18,L4,1405
L4-19,L4,749
L4-20,L4,1294
L4-21,L4,997
L4-22,L4,663
L4-23,L4,1201
L4-24,L4,1743
L4-25,L4,1244
L4-26,L4,925
L4-27,L4,2729
L4-28,L4,1117
L4-29,L4,817
L4-30,L4,1134
L4-31,L4,1549
L4-32,L4,349
L4-33,L4,915
L4-34,L4,1136
L4-35,L4,575
L4-36,L4,1199
L4-37,L4,561
L4-38,L4,1369
L4-39,L4,595
L4-40,L4,1223
L5-01,L5,2448
L5-02,L5,1263
L5-03,L5,795
L5-04,L5,2371
L5-05,L5,1217
L5-06,L5,1658
L5-07,L5,1798
L5-08,L5,998
L5-09,L5,609
L5-10,L5,2436
L5-11,L5,754
L5-12,L5,857
L5-13,L5,1187
L5-14,L5,1754
L5-15,L5,918
L5-16,L5,1100
L5-17,L5,576
L5-18,L5,1142
L5-19,L5,1077
L5-20,L5,785
L5-21,L5,791
L5-22,L5,1762
L5-23,L5,1124
L5-24,L5,1599
L5-25,L5,790
L5-26,L5,1878
L5-27,L5,1357
L5-28,L5,1330
L5-29,L5,700
L5-30,L5,864
L5-31,L5,933
L5-32,L5,726
L5-33,L5,1541
L5-34,L5,731
L5-35,L5,2054
L5-36,L5,797
L5-37,L5,1350
L5-38,L5,1411
L5-39,L5,1791
L5-40,L5,550
L6-01,L6,361
L6-02,L6,543
L6-03,L6,666
L6-04,L6,655
L6-05,L6,992
L6-06,L6,1171
L6-07,L6,349
L6-08,L6,1977
L6-09,L6,597
L6-10,L6,457
L6-11,L6,918
L6-12,L6,725
L6-13,L6,1243
L6-14,L6,709
L6-15,L6,709
L6-16,L6,657
L6-17,L6,513
L6-18,L6,572
L6-19,L6,581
L6-20,L6,592
L6-21,L6,575
L6-22,L6,1045
L6-23,L6,745
L6-24,L6,1528
L6-25,L6,1517
L6-26,L6,887
L6-27,L6,1010
L6-28,L6,732
L6-29,L6,608
L6-30,L6,574
L6-31,L6,645
L6-32,L6,491
L6-33,L6,639
L6-34,L6,635
L6-35,L6,502
L6-36,L6,1214
L6-37,L6,592
L6-38,L6,520
L6-39,L6,790
L6-40,L6,685
