segment_id,cell_type
500001,basket
500002,vip
500005,L5_pyr
500007,basket
500020,L4_exc
500022,martinotti
500023,L4_exc
500026,vip
500032,L23_pyr
500034,L5_pyr
500046,L5_pyr
500061,L4_exc
500063,L23_pyr
500081,basket
500090,martinotti
500093,L23_pyr
500094,basket
500098,L5_pyr
500100,L23_pyr
500101,L5_pyr
500104,L23_pyr
500112,
500116,
500117,vip
500123,L4_exc
500126,L4_exc
500131,L5_pyr
500133,basket
500134,L23_pyr
500142,L5_pyr
500145,martinotti
500148,L23_pyr
500155,
500162,
500164,L23_pyr
500176,L23_pyr
500177,L5_pyr
500181,martinotti
500189,L23_pyr
500190,L5_pyr
500192,basket
500193,L23_pyr
500196,L23_pyr
500197,basket
500198,L4_exc
500206,L5_pyr
500207,L4_exc
500211,martinotti
500212,L23_pyr
500228,vip
500236,basket
500237,L4_exc
500264,L5_pyr
500274,L5_pyr
500279,L23_pyr
500293,L4_exc
500312,vip
500318,L5_pyr
500319,basket
500321,
500322,vip
500330,L23_pyr
500331,L5_pyr
500332,basket
500333,basket
500334,martinotti
500336,L23_pyr
500338,vip
500344,L23_pyr
500359,martinotti
500360,L4_exc
500361,L5_pyr
500365,
500366,L4_exc
500367,basket
500382,L5_pyr
500387,vip
500391,vip
500392,martinotti
500401,L23_pyr
500422,L23_pyr
500424,martinotti
500432,L4_exc
500436,L23_pyr
500446,L4_exc
500449,L23_pyr
500457,L5_pyr
500465,basket
500470,L4_exc
500471,L5_pyr
500484,L4_exc
500485,L4_exc
500487,L5_pyr
500489,basket
500492,basket
500498,L23_pyr
500510,L23_pyr
500513,martinotti
500514,L5_pyr
500516,L5_pyr
500518,L4_exc
500520,vip
500521,martinotti
500522,martinotti
500526,L5_pyr
500527,L5_pyr
500528,
500530,L23_pyr
500540,L5_pyr
500544,L5_pyr
500545,L23_pyr
500546,
500550,L23_pyr
500553,L4_exc
500564,L23_pyr
500567,L5_pyr
500574,
500586,L23_pyr
500597,L23_pyr
500605,
500607,L23_pyr
500609,L5_pyr
500613,martinotti
