synapse_id,pre_segment_id,post_segment_id,cleft_score,size_vx
26843,501999,500475,203,341
23712,501691,500838,136,275
4922,501326,501145,98,617
10435,501808,500192,142,425
29685,501596,500045,30,85
11091,501492,501781,113,832
14200,501060,500687,109,150
15828,500724,501572,55,172
12635,501862,500808,102,395
24071,500481,500564,100,468
24546,500817,501643,152,310
25062,500788,501204,159,486
21726,500969,501099,139,653
15858,500737,501997,158,282
3150,501513,500356,160,565
15537,501189,500746,146,151
11177,501176,500714,142,383
1701,501075,501400,153,291
24710,500217,500119,196,977
11962,500998,500646,191,407
7928,501418,501970,117,536
18398,501033,500449,75,60
20150,500338,501271,125,309
10386,501010,501464,117,372
5053,501689,500006,126,448
9137,500959,501491,12,181
14923,500912,500420,41,131
26401,501653,501997,41,117
8624,500284,501965,175,225
18306,501989,501093,84,808
16579,500878,501170,93,465
8417,500396,500646,63,33
29252,501036,500655,166,187
21179,501363,500065,166,299
26867,501465,500912,123,161
13808,501406,500561,104,76
19559,500248,500218,122,110
5391,501178,501631,169,286
2736,501803,501320,9,65
7522,501217,500987,29,141
13171,500847,500565,108,234
26852,501016,500593,200,819
16168,500304,501520,121,569
11803,500473,501034,99,181
29869,500308,500846,120,487
402,501519,500586,135,567
18753,501464,501868,142,446
17593,500049,501756,153,280
4463,500980,501533,184,430
8449,501041,501713,135,295
23141,501120,500006,95,438
9539,904059,500226,40,124
26182,500765,501639,6,198
20548,501268,500007,29,250
21818,500900,500312,144,539
8340,500701,501645,119,903
2654,500724,501183,45,149
7660,501025,501141,138,248
1028,500215,500008,102,214
13098,501737,500522,157,465
8811,500613,501160,68,280
557,501068,500457,98,687
22267,500575,500461,25,93
21742,501590,501731,50,112
24686,500718,501710,56,121
2812,501759,501965,181,971
19493,500986,501684,90,340
7597,500261,500783,53,86
28805,501705,500273,70,105
18255,501731,501041,162,164
20792,501072,501973,169,1065
20291,501600,501404,203,179
4874,500128,500203,44,120
7041,500847,501515,182,379
17357,500981,500255,42,373
5431,501808,501662,108,519
26301,501573,500410,115,308
25875,501892,500127,106,564
22115,501572,501564,148,331
3852,501134,501636,193,411
11265,501852,501695,50,186
521,500025,500021,139,546
11098,500028,500926,114,169
2417,501107,500950,147,737
1676,501567,501169,148,521
784,501236,500611,138,975
6666,500021,501743,44,88
10236,500468,501607,174,497
5429,501112,500419,50,476
2452,501333,500169,32,163
10714,500356,501133,193,439
27809,500622,500996,148,297
3601,500842,500063,125,366
18013,501179,501251,169,630
20854,500192,500071,58,113
28545,501859,501853,155,446
339,500675,500556,134,492
18623,501341,500628,203,412
12109,501759,500747,117,326
15538,501572,500330,98,754
12931,501894,501948,6,104
26083,500446,500189,112,398
19147,500324,501063,11,69
13554,500079,501497,168,300
21859,500473,500013,152,793
9241,500385,501412,148,354
7012,900270,500882,175,628
24687,500572,501321,24,62
23677,501991,500363,174,499
13990,500607,501630,121,341
16749,500395,501563,134,517
2865,501731,501996,111,379
14315,500571,501520,81,499
28186,501752,501582,167,387
7856,501007,500621,143,720
26365,500777,501545,121,348
3159,500394,501737,33,106
13654,501307,500658,100,344
12441,500462,500710,74,109
2381,501583,500533,149,379
25856,500718,500624,169,374
14465,500958,501208,52,115
17807,501217,500056,152,392
27167,500530,501736,151,255
18189,501696,500735,182,365
12408,500252,500790,117,548
15446,902313,500510,142,212
19575,500659,501194,141,222
12258,500991,501309,27,82
26835,500302,501684,147,380
14114,501381,500471,107,602
4694,501314,500473,135,441
13609,500077,501509,126,399
12249,501134,500343,129,357
10450,501355,501382,155,322
11737,500008,500608,158,412
17577,500533,501232,134,356
22694,500093,501271,154,550
10019,500759,500712,146,361
20986,500374,501431,19,259
9203,501007,501272,107,552
3577,500752,500137,38,97
9367,501780,501072,130,687
22916,501818,501473,91,275
10033,500968,500399,165,262
21208,500512,500786,130,393
23470,500669,501251,118,308
6414,500736,501165,27,130
21514,500026,500287,149,383
4562,501916,500570,102,670
16115,501695,501870,197,832
12174,501045,500392,130,260
11346,500781,500075,17,135
25652,501394,501189,145,526
7031,501120,500978,143,504
9787,500070,501511,137,491
11544,501551,500957,137,341
12569,500987,501787,164,198
7997,501272,501768,170,287
25349,500678,501103,123,341
11444,500215,500706,155,486
23638,501998,501676,135,634
3142,501445,500143,147,335
21389,501741,500090,87,478
10359,501625,500784,99,455
2580,501083,500955,27,74
24795,501629,501825,33,124
7513,500904,500034,107,289
29569,500241,500081,126,124
28084,501299,501094,143,443
13953,500365,500857,37,123
20704,501082,500965,73,241
25454,501756,500638,185,347
16699,501522,500068,138,351
18437,500782,501943,141,305
3777,500178,500021,140,289
6934,501867,500421,78,64
18421,501662,500795,105,342
1867,501584,501499,104,484
19809,500653,500086,136,287
949,501615,501263,165,567
28178,501017,501734,159,272
2163,500460,500295,143,353
22398,501526,501616,43,72
27299,500104,500415,147,602
9192,501580,500854,5,146
8686,500128,501694,83,440
11468,500657,500239,144,262
24597,501406,500045,132,391
1876,500935,500447,185,627
6244,500681,500049,174,876
15954,500718,501274,44,260
16995,500716,501268,131,456
29166,500260,500405,38,168
3670,500734,500624,139,566
12666,501868,500676,180,609
11264,501240,501571,9,389
18574,500998,501406,31,178
24282,501859,501890,138,350
23988,500669,501007,180,226
24308,500884,500115,182,358
1376,500300,501304,162,344
7357,500556,500524,176,981
28911,500902,501788,39,172
24231,501999,501326,126,551
26229,501068,500651,176,178
8585,501367,501981,173,546
17227,500473,500754,98,186
26702,904495,500833,124,632
25723,500880,501099,163,581
3019,500672,500685,140,354
19035,500159,501176,67,596
256,500489,501350,180,536
652,501300,500528,53,708
12986,500642,500441,105,662
26234,500294,501631,158,651
8596,501884,501616,184,230
15836,501190,500720,33,79
4499,500006,500730,149,172
13017,501351,501355,46,173
27786,501152,501324,123,358
17329,501944,501495,158,577
1489,500657,500166,158,206
15267,501204,501431,30,187
25792,500586,500264,182,250
17442,500726,501063,118,255
23378,500944,500202,133,245
29084,501713,500657,43,83
3658,500101,501238,155,497
20528,501869,500567,118,610
18689,500583,501606,199,1076
5996,501206,501598,152,315
19724,500612,501781,2,125
12917,501155,501018,52,101
18536,501143,500681,114,569
24349,500172,501697,31,223
13188,501625,500520,83,399
25332,501704,501314,186,350
25608,501036,501173,144,722
10917,501389,501673,54,177
13328,501016,501016,125,931
11793,501817,501880,185,283
6997,501992,500919,172,713
7185,500197,501261,126,354
12496,501960,500405,171,603
28851,500057,501446,28,91
19531,500368,501639,95,907
21047,500518,501349,144,224
23359,501207,500201,169,469
13965,501980,500723,141,254
15726,501461,501452,157,767
4915,501764,500248,113,356
8372,500622,501704,80,256
14674,501744,500910,159,191
12800,501287,501228,172,365
22010,501170,500481,118,304
12216,501834,501859,114,191
26704,500878,501331,149,756
11794,501663,500705,70,408
27075,501492,501189,190,231
7232,501535,500991,116,781
17142,501815,500696,71,294
16069,501412,500622,151,1009
25380,500711,500050,119,696
26894,501050,501926,135,569
17505,501998,500776,198,271
25273,501087,501195,57,594
9146,500468,501772,131,148
21999,500189,500453,8,88
13028,501131,501432,138,196
17166,500908,501505,90,229
715,500484,500667,134,634
1415,501919,500191,121,461
17205,501736,500200,131,232
25847,501740,500064,128,661
12674,501862,501916,151,532
8839,501012,500726,127,528
1889,501905,500690,145,394
12945,501499,501765,156,532
19053,501682,501918,40,97
10283,501772,501050,169,269
6403,500176,501525,152,463
13351,501995,500008,145,291
9062,501828,500026,74,433
5868,501916,500131,130,261
13811,500681,500441,102,961
26790,501236,500501,213,230
18846,501546,500707,26,57
2572,501467,501022,82,423
2807,501489,500386,149,285
10627,500669,501176,100,247
1938,501456,500954,168,356
1721,500680,501751,70,243
12420,500965,500087,145,412
16651,501880,500261,168,208
15181,501831,500936,177,513
1655,500902,501227,137,391
18303,501872,500870,146,933
13059,500675,501676,190,638
22552,500608,500267,97,249
7821,500493,501951,118,521
9744,500799,500312,32,172
14953,501942,501412,177,476
20468,500207,501144,107,474
29835,501553,500444,123,255
21796,501561,501617,141,314
23844,501181,500439,59,226
17078,500479,500777,143,314
8852,501333,501171,169,553
17950,500971,500401,150,371
6133,501657,500657,87,468
6310,500587,500987,183,834
11452,500597,501598,121,451
13724,501233,501861,150,280
17121,500232,501382,173,465
18665,500876,500675,144,245
28423,500451,501470,100,181
12780,501006,501495,78,746
24148,501741,500697,196,247
9112,501814,501367,125,414
4413,500702,500386,145,257
14260,501228,500821,160,702
16571,500825,501286,52,216
1141,500035,500106,52,165
7634,500331,501785,189,489
25198,501883,500021,95,1150
9189,500488,500641,18,195
12231,500994,500091,173,910
1332,501302,500370,170,294
22720,500979,500897,91,469
4060,500361,501580,138,397
14526,500489,500101,201,302
3860,501711,500546,208,392
9337,500373,500057,166,391
17470,500735,501749,146,465
2868,501705,501623,66,175
19969,501135,500782,194,277
16686,500698,501693,126,207
12475,501611,500087,27,95
13587,501208,501781,138,500
2056,501275,501413,92,473
28655,500500,500870,46,206
11613,500316,500262,134,251
9542,501941,500884,151,196
4459,500633,501784,85,724
19013,501036,500344,175,617
23565,500645,501115,141,149
12670,500972,501357,215,651
20388,501583,500655,125,459
5902,500697,501955,138,325
15558,501414,501407,106,529
2540,501505,501155,41,107
25650,500639,500446,95,488
25097,501079,501013,57,37
5835,500116,501890,185,389
18470,500547,501040,126,584
28757,501652,501826,135,232
10562,500432,500712,34,119
14702,500633,501217,191,258
6992,501999,501389,31,69
19371,500743,501217,153,119
4643,501169,501479,126,140
8122,501057,500449,29,72
14892,501572,501166,135,322
25095,501743,500415,181,281
10442,500991,501703,99,222
726,501668,501107,126,545
26745,501966,500115,170,356
3804,500063,500593,97,1068
13165,501395,500423,34,100
3698,500091,501376,162,181
16423,500802,501909,1,56
29170,500704,500279,159,519
21869,501605,501039,150,223
12357,501996,501491,152,490
17001,501526,500508,17,148
29939,501045,501713,88,490
17913,500885,500687,141,827
13810,500919,501224,110,162
17480,501456,500830,140,546
18945,501899,500114,154,781
22935,500679,500088,159,184
6878,501203,500045,119,281
11939,501996,500636,123,356
1526,501605,500422,95,307
11366,501072,501532,148,288
3482,501073,501889,174,352
9531,501122,500915,137,496
4281,501456,501438,140,880
28612,501443,500077,139,565
3,501764,501865,163,493
13795,501335,500065,137,1088
24035,501868,501376,125,1016
18077,501212,500782,190,269
18438,500597,501564,157,204
2977,500561,501638,114,599
19167,500767,501960,191,206
12879,501438,500864,30,69
25244,501656,500506,103,420
21240,500158,501716,144,229
89,501888,501063,139,295
28631,500476,500491,85,404
18498,500285,501365,48,173
27687,500383,501878,129,659
5888,501145,500680,108,218
19548,500338,500045,149,207
14291,500675,501700,142,709
21740,500782,500669,38,97
2902,501207,501103,138,675
4501,501620,500345,73,240
27510,500018,500464,153,516
25879,501213,500069,28,53
5838,500685,500433,153,982
18120,500321,500449,150,419
19352,500465,500207,193,391
23514,500333,501463,98,816
2408,500776,501861,151,252
23961,500193,500749,226,355
1664,501942,500639,126,666
25685,500587,500824,156,491
9303,501721,500447,94,269
23258,501996,501655,87,424
11184,501054,501204,175,532
25665,501251,500258,112,291
22980,501015,501432,145,593
11679,500807,501562,52,57
18870,500907,501291,183,359
22539,500092,500883,36,317
13304,501796,500254,25,183
24272,501214,501686,200,1259
17207,500640,500345,30,57
19913,501138,501996,36,169
1156,501379,500144,112,208
657,500217,501497,51,148
27896,500683,500041,196,346
19822,501251,501753,115,412
5461,500427,500926,161,514
7662,500361,500063,132,367
8492,501816,501079,52,272
2083,501551,500714,125,313
28120,500619,501184,197,326
12662,501479,501588,177,550
3419,501171,500344,212,393
29614,501133,500578,111,146
20339,501941,500346,73,175
7876,501058,501844,92,530
26832,500501,501142,34,56
29975,500611,500453,191,571
1215,500339,501891,42,116
18261,501031,500070,154,568
990,501251,500567,171,661
22365,501314,500395,119,210
27760,501228,501234,42,72
375,500272,500870,135,222
28783,500436,501505,169,714
8248,501537,501332,150,590
7104,500785,500547,153,325
4320,500460,500890,126,637
11599,500657,501403,127,597
12912,501931,501228,182,163
8363,500468,500308,154,2210
7458,500832,501924,196,441
16117,500167,501034,105,382
966,501367,500049,131,494
15378,501257,500662,35,69
13397,501837,500691,75,163
16235,500159,500239,166,265
10823,500308,501266,164,694
10608,501052,500258,92,896
14122,500296,500705,135,284
24190,500950,501436,119,348
26227,501170,500177,21,88
9216,500622,501707,137,306
19683,501345,501780,152,201
17801,500670,501704,147,526
23505,500578,501148,129,256
22308,500156,501493,57,105
26973,500830,500791,31,127
13347,501237,501768,84,669
13454,500183,501091,130,274
18542,500513,501571,140,165
16472,501203,500094,37,69
17694,500184,500567,158,483
13528,500889,500096,69,105
12888,500879,501629,23,97
1830,500685,501219,103,131
28836,501992,500180,123,285
27227,500572,500190,194,125
4661,500520,500498,159,347
11591,501482,500176,91,519
20596,501711,500114,142,221
18592,501178,500322,178,326
9699,501713,501320,111,918
20445,500583,501723,160,707
27206,500314,501259,87,586
2502,501438,501418,172,688
1386,500779,501338,155,124
24347,501315,501272,126,365
13453,501282,500403,88,292
29792,501899,500923,137,485
7927,500782,501744,118,435
16038,501675,501970,202,437
3088,501011,501282,197,265
9510,500711,501410,206,197
19898,501890,501025,39,153
2126,500687,501340,101,135
11604,500819,501345,117,647
21182,501382,500670,136,303
12720,501992,500954,199,128
5943,501069,501034,142,499
17778,500687,500580,191,430
5698,501866,501212,109,429
15910,500134,500517,139,353
3318,501375,501814,144,411
28242,501587,500813,157,230
14237,501275,500068,153,432
28957,500925,501810,178,548
23336,501198,501195,102,799
28021,500779,501729,161,291
14918,501131,501345,187,706
15937,500241,501573,155,640
11360,901199,500919,45,100
6907,501945,500188,181,538
25330,500004,500911,31,112
27087,501684,501581,154,861
23440,501020,501325,99,298
12297,500697,500116,180,353
6115,500382,501356,158,522
7601,501372,500145,175,473
10262,501547,501753,146,465
23257,501964,500529,153,711
2498,501499,500001,146,305
14607,501860,500779,155,291
25173,500981,501839,140,352
5708,501282,501970,98,150
23519,501630,501222,103,477
3657,501025,500651,94,519
2585,501302,501465,129,266
14365,500986,500610,169,885
6856,501601,500706,83,990
12848,500464,500502,173,269
28425,500867,501240,155,346
12590,500792,501704,138,210
27439,501103,500848,162,176
16485,500970,500970,0,101
26719,500185,500797,131,307
22652,500314,500657,165,290
25573,501843,501159,109,229
23347,501584,501414,172,629
2781,500459,501681,139,491
14268,501830,501668,138,758
8250,500026,501504,185,596
1434,500765,500076,105,300
587,501180,501687,144,509
17297,501413,500149,120,376
22221,500087,500739,171,521
19458,500101,501092,144,434
9197,500637,500096,29,56
14035,501967,500028,115,257
1228,501574,500498,133,108
21254,501729,501197,161,287
6622,501261,501706,168,388
16553,500435,500104,61,365
4977,501406,501751,116,325
17998,501917,500971,169,523
10859,500631,501721,34,112
350,500847,500381,211,533
22640,501222,500770,147,1257
20878,500149,500193,128,329
24437,500079,501969,120,279
28004,500843,501670,40,143
29651,501677,501917,162,442
26755,500210,500746,138,310
7563,500217,500253,146,448
4431,500717,501028,58,138
18721,500192,501168,58,539
19118,501235,501628,146,184
23274,500711,500193,215,536
19795,500965,501362,151,868
9943,501125,502000,180,784
29010,501180,500257,127,320
177,500884,500729,5,233
13456,500726,500938,172,675
2884,501287,501144,139,476
4967,500606,500877,160,623
837,500785,501113,106,587
25611,500258,501951,129,188
25197,500003,501523,135,692
21174,500370,500376,119,376
10472,501756,500774,128,333
16748,500119,501288,134,490
13735,500143,500505,72,662
21016,500661,501951,184,570
7929,500819,501403,142,464
25909,501193,500896,187,1158
11857,500497,501965,124,274
10488,501006,501233,111,392
25974,501780,501694,139,253
27383,500133,501327,11,83
24900,500812,501640,150,1037
7506,500555,501675,1,159
23129,500241,501919,169,158
18027,501814,500962,125,1237
186,501308,501473,35,96
5261,501161,501533,197,461
20729,500621,500339,109,299
2081,501208,501059,45,195
22084,500523,501847,14,167
12561,501998,500298,193,288
10798,501336,500930,154,595
25910,900339,501652,135,314
825,501341,500528,138,525
823,501370,500988,59,399
5054,501598,500759,138,366
18365,501290,501213,153,596
26983,501473,500792,165,187
12285,501931,501384,78,852
18047,500774,501190,113,354
2537,500762,501039,121,385
16954,501837,501980,113,834
8880,500658,501889,117,482
15399,500087,501533,36,267
17262,500522,501700,164,530
22901,500061,501011,69,457
19390,501358,500275,8,124
27698,501627,500934,87,356
4221,501089,501666,38,131
13918,500533,501846,57,164
24992,501093,500064,147,391
