segment_id,volume_um3,has_soma,touches_boundary
500001,1059.2228,1,0
500002,364.8357,1,0
500003,17.3531,0,0
500004,7.9173,0,0
500005,1161.1618,1,0
500006,1.9742,0,0
500007,668.1215,1,0
500008,1.5333,0,0
500009,38.0536,0,0
500010,9.4560,0,0
500011,0.6188,0,0
500012,0.6376,0,1
500013,13.3218,0,0
500014,0.2304,0,0
500015,0.0402,0,0
500016,0.0542,0,0
500017,0.2409,0,0
500018,4.7109,0,1
500019,15.8580,0,1
500020,235.4329,1,0
500021,73.5438,0,0
500022,1314.5688,1,0
500023,970.1261,1,1
500024,0.0382,0,0
500025,1.6127,0,1
500026,275.4174,1,0
500027,0.0167,0,1
500028,95.3821,0,1
500029,73.0994,0,0
500030,0.0394,0,0
500031,2.0427,0,0
500032,426.0968,1,0
500033,28.7992,0,0
500034,727.1929,1,0
500035,0.1214,0,1
500036,10.7951,0,0
500037,1.0203,0,0
500038,0.5588,0,1
500039,13.2798,0,1
500040,0.1504,0,0
500041,12.8267,0,1
500042,25.6739,0,1
500043,0.0313,0,1
500044,0.4435,0,0
500045,3.1852,0,1
500046,261.1147,1,1
500047,0.0277,0,1
500048,0.7257,0,0
500049,14.7081,0,0
500050,42.2364,0,0
500051,19.4518,0,0
500052,0.0284,0,0
500053,0.1795,0,0
500054,2.9461,0,0
500055,0.0537,0,0
500056,22.4680,0,1
500057,3.9835,0,0
500058,0.1144,0,0
500059,13.7295,0,0
500060,6.0443,0,0
500061,354.5823,1,0
500062,0.0523,0,0
500063,784.4516,1,0
500064,24.7826,0,0
500065,1.2481,0,1
500066,1.3838,0,1
500067,18.8620,0,0
500068,4.4865,0,0
500069,0.1012,0,0
500070,22.2009,0,1
500071,4.7772,0,1
500072,0.0914,0,0
500073,0.0722,0,0
500074,69.7602,0,1
500075,1.0816,0,0
500076,33.2631,0,0
500077,10.6869,0,1
500078,0.4628,0,0
500079,58.3469,0,0
500080,2.8707,0,0
500081,231.8544,1,0
500082,5.5655,0,0
500083,0.0466,0,0
500084,19.2443,0,0
500085,0.0273,0,0
500086,15.4051,0,1
500087,1.8695,0,0
500088,17.3163,0,0
500089,0.3715,0,1
500090,625.2554,1,0
500091,1.0225,0,0
500092,0.0256,0,1
500093,1152.1500,1,0
500094,287.6666,1,0
500095,70.4254,0,0
500096,0.1301,0,0
500097,0.0244,0,0
500098,247.6092,1,1
500099,18.9236,0,1
500100,279.0884,1,0
500101,1266.9062,1,1
500102,0.2168,0,1
500103,0.0847,0,1
500104,528.6872,1,0
500105,1.3696,0,1
500106,0.2442,0,1
500107,0.3307,0,1
500108,0.0691,0,0
500109,36.7964,0,0
500110,16.3161,0,0
500111,3.1394,0,1
500112,243.4489,1,0
500113,0.2690,0,0
500114,86.4811,0,1
500115,43.3599,0,0
500116,1497.2530,1,0
500117,257.0711,1,0
500118,0.0294,0,0
500119,85.7588,0,0
500120,1.4137,0,1
500121,85.1381,0,1
500122,0.0259,0,0
500123,1333.1695,1,0
500124,76.5101,0,0
500125,0.0166,0,1
500126,406.5402,1,1
500127,1.4052,0,1
500128,49.9956,0,0
500129,0.1550,0,0
500130,0.0401,0,1
500131,258.2733,1,0
500132,25.3054,0,0
500133,329.0266,1,0
500134,521.9644,1,0
500135,18.4111,0,0
500136,0.0391,0,0
500137,0.0870,0,0
500138,2.2676,0,0
500139,72.1221,0,0
500140,1.8294,0,0
500141,0.0101,0,1
500142,977.3925,1,1
500143,63.1861,0,0
500144,4.5113,0,0
500145,775.9658,1,0
500146,0.3484,0,1
500147,0.2646,0,1
500148,1087.9211,1,0
500149,3.9632,0,0
500150,0.1134,0,0
500151,63.0414,0,1
500152,0.7046,0,0
500153,5.8388,0,0
500154,17.4985,0,0
500155,619.6137,1,1
500156,1.1229,0,0
500157,0.2556,0,1
500158,64.7661,0,0
500159,8.4060,0,0
500160,18.6649,0,0
500161,0.1242,0,0
500162,508.8168,1,0
500163,0.2533,0,1
500164,837.0941,1,1
500165,0.1083,0,0
500166,4.0355,0,0
500167,36.7970,0,0
500168,0.0121,0,0
500169,0.2153,0,0
500170,0.1045,0,0
500171,0.0115,0,0
500172,1.0824,0,0
500173,5.9462,0,0
500174,2.5254,0,1
500175,0.0168,0,1
500176,344.7908,1,0
500177,227.3044,1,1
500178,1.7949,0,0
500179,1.5572,0,1
500180,87.9125,0,1
500181,1334.0946,1,0
500182,0.5942,0,0
500183,15.0901,0,1
500184,16.2144,0,1
500185,2.0447,0,1
500186,0.0540,0,1
500187,0.0133,0,1
500188,1.5052,0,0
500189,436.0794,1,1
500190,1268.9800,1,0
500191,11.9124,0,1
500192,872.3073,1,0
500193,825.7116,1,0
500194,0.2517,0,0
500195,0.0111,0,0
500196,231.9848,1,0
500197,625.8068,1,0
500198,201.5385,1,1
500199,1.9489,0,1
500200,6.7602,0,0
500201,25.7023,0,0
500202,6.5104,0,0
500203,94.7625,0,1
500204,14.8875,0,0
500205,0.0414,0,1
500206,230.6654,1,0
500207,431.7012,1,0
500208,5.7552,0,1
500209,0.0150,0,1
500210,5.9742,0,0
500211,668.0233,1,0
500212,845.0835,1,0
500213,22.4787,0,0
500214,8.9463,0,0
500215,17.5071,0,0
500216,0.1114,0,0
500217,23.3339,0,0
500218,2.0962,0,1
500219,10.4436,0,0
500220,0.2047,0,0
500221,0.0247,0,0
500222,16.6256,0,1
500223,0.0621,0,0
500224,0.4454,0,0
500225,7.0007,0,0
500226,0.0364,0,0
500227,0.2200,0,1
500228,406.3100,1,0
500229,0.1275,0,1
500230,0.0698,0,0
500231,0.0154,0,0
500232,43.4490,0,0
500233,1.2750,0,0
500234,0.0208,0,0
500235,0.0186,0,0
500236,896.1156,1,0
500237,791.5495,1,0
500238,4.2697,0,0
500239,57.8187,0,0
500240,0.1107,0,1
500241,13.6381,0,0
500242,0.0122,0,1
500243,0.2337,0,0
500244,22.5828,0,0
500245,0.2865,0,0
500246,0.1669,0,0
500247,0.0156,0,0
500248,5.5087,0,0
500249,2.1083,0,0
500250,1.3218,0,0
500251,10.0026,0,0
500252,37.5948,0,0
500253,18.1443,0,0
500254,0.0497,0,1
500255,11.1411,0,0
500256,10.7675,0,0
500257,5.0741,0,0
500258,2.1712,0,1
500259,76.9305,0,0
500260,0.1460,0,0
500261,1.7496,0,0
500262,42.7910,0,0
500263,0.0136,0,0
500264,281.8098,1,0
500265,5.2145,0,0
500266,37.2882,0,0
500267,27.6777,0,0
500268,29.7303,0,0
500269,17.7583,0,0
500270,0.2224,0,0
500271,0.0110,0,0
500272,1.4506,0,0
500273,0.0523,0,0
500274,1510.5048,1,0
500275,0.0928,0,0
500276,0.1009,0,0
500277,0.4551,0,0
500278,3.2478,0,1
500279,514.3738,1,0
500280,2.6073,0,0
500281,41.1903,0,0
500282,8.3293,0,0
500283,0.0208,0,0
500284,49.4014,0,1
500285,0.1943,0,1
500286,0.0274,0,1
500287,29.2878,0,1
500288,0.7200,0,0
500289,82.0031,0,1
500290,0.1048,0,0
500291,78.3694,0,1
500292,0.0530,0,1
500293,223.2107,1,0
500294,12.4524,0,0
500295,1.7937,0,0
500296,16.3032,0,0
500297,32.3899,0,0
500298,6.2268,0,1
500299,5.8522,0,1
500300,44.7764,0,0
500301,0.0351,0,1
500302,2.7383,0,0
500303,0.4759,0,0
500304,6.2985,0,0
500305,13.2616,0,0
500306,0.2104,0,0
500307,0.1401,0,0
500308,79.6267,0,1
500309,2.7107,0,1
500310,0.0668,0,0
500311,24.1005,0,0
500312,847.7262,1,0
500313,0.5756,0,1
500314,1.0987,0,0
500315,0.0257,0,0
500316,1.0830,0,0
500317,0.0405,0,0
500318,1277.5626,1,0
500319,1491.4754,1,0
500320,24.4942,0,0
500321,215.3938,1,0
500322,338.3075,1,0
500323,65.8484,0,0
500324,23.4887,0,0
500325,0.0277,0,0
500326,1.4251,0,0
500327,2.0370,0,1
500328,40.1017,0,0
500329,0.0148,0,0
500330,833.4610,1,0
500331,463.3154,1,1
500332,282.6680,1,1
500333,584.6242,1,1
500334,826.7699,1,1
500335,9.7876,0,0
500336,1000.5582,1,0
500337,0.0124,0,0
500338,325.0812,1,0
500339,2.0953,0,1
500340,0.3060,0,0
500341,0.1395,0,0
500342,7.6965,0,0
500343,20.4733,0,1
500344,418.7020,1,0
500345,41.3034,0,0
500346,9.4818,0,1
500347,0.0324,0,0
500348,0.0636,0,0
500349,0.0328,0,1
500350,0.0871,0,1
500351,0.3024,0,0
500352,0.0415,0,0
500353,0.0678,0,0
500354,1.6567,0,1
500355,0.0860,0,0
500356,67.4088,0,0
500357,0.1672,0,0
500358,0.0782,0,0
500359,1250.9953,1,0
500360,295.0449,1,0
500361,1188.5555,1,0
500362,0.0568,0,0
500363,46.0213,0,0
500364,0.0268,0,0
500365,1070.4946,1,0
500366,1515.6529,1,0
500367,641.9674,1,1
500368,6.3886,0,1
500369,0.0126,0,0
500370,9.6347,0,1
500371,56.9121,0,1
500372,0.4840,0,0
500373,5.4075,0,0
500374,3.2233,0,0
500375,0.0117,0,0
500376,17.9931,0,0
500377,0.2011,0,1
500378,0.1340,0,1
500379,0.6114,0,1
500380,49.6866,0,0
500381,6.5989,0,1
500382,363.9503,1,0
500383,80.4773,0,1
500384,30.4551,0,0
500385,37.2017,0,0
500386,86.4168,0,0
500387,474.5605,1,0
500388,0.1868,0,0
500389,0.0106,0,0
500390,5.0121,0,0
500391,1068.7128,1,1
500392,1007.2508,1,0
500393,0.1735,0,0
500394,0.0344,0,0
500395,22.1099,0,1
500396,0.7842,0,0
500397,0.2014,0,0
500398,0.0198,0,0
500399,49.0552,0,0
500400,18.1730,0,0
500401,1412.6392,1,0
500402,26.2584,0,0
500403,7.1372,0,1
500404,0.6515,0,1
500405,11.8388,0,0
500406,0.0268,0,1
500407,0.0116,0,0
500408,0.0777,0,0
500409,0.0919,0,0
500410,44.8754,0,0
500411,0.0288,0,1
500412,0.2731,0,0
500413,21.3319,0,0
500414,2.5618,0,0
500415,67.3370,0,0
500416,34.7390,0,0
500417,0.1179,0,0
500418,0.5988,0,0
500419,23.7237,0,0
500420,40.9483,0,0
500421,0.0676,0,0
500422,1483.0705,1,0
500423,71.3874,0,1
500424,1056.3160,1,0
500425,0.0387,0,0
500426,0.2232,0,0
500427,34.7725,0,0
500428,0.0100,0,0
500429,0.5642,0,0
500430,0.0559,0,0
500431,1.9115,0,1
500432,943.4783,1,0
500433,2.7382,0,1
500434,0.3902,0,0
500435,16.6060,0,0
500436,377.4845,1,1
500437,0.0922,0,1
500438,2.5558,0,0
500439,0.0668,0,0
500440,84.6139,0,0
500441,83.1923,0,0
500442,48.6672,0,0
500443,0.0101,0,1
500444,9.1785,0,1
500445,0.0706,0,1
500446,704.3003,1,0
500447,6.9416,0,0
500448,0.4090,0,1
500449,313.9972,1,0
500450,0.0341,0,0
500451,13.7819,0,1
500452,0.7158,0,0
500453,3.3275,0,0
500454,6.0433,0,0
500455,40.9833,0,0
500456,0.0348,0,0
500457,531.0360,1,0
500458,0.0159,0,0
500459,81.2200,0,1
500460,13.1175,0,1
500461,7.1102,0,0
500462,58.1505,0,1
500463,21.8314,0,0
500464,27.8927,0,1
500465,348.3505,1,0
500466,8.0893,0,1
500467,80.3634,0,0
500468,2.6959,0,0
500469,0.0893,0,0
500470,1482.1344,1,0
500471,1490.9612,1,1
500472,15.1704,0,0
500473,28.5138,0,0
500474,0.1482,0,0
500475,3.5349,0,0
500476,58.6809,0,1
500477,0.0354,0,0
500478,9.0183,0,1
500479,1.8626,0,0
500480,1.5834,0,1
500481,15.5905,0,0
500482,0.2696,0,0
500483,0.0979,0,1
500484,207.4781,1,0
500485,456.9591,1,0
500486,0.0692,0,0
500487,708.4092,1,1
500488,0.1078,0,0
500489,438.4660,1,0
500490,0.2439,0,0
500491,69.3732,0,0
500492,222.6076,1,0
500493,98.7071,0,0
500494,0.0262,0,1
500495,21.9231,0,0
500496,4.4185,0,0
500497,13.0512,0,0
500498,400.6343,1,0
500499,0.0402,0,0
500500,0.5022,0,0
500501,1.0321,0,1
500502,3.1412,0,1
500503,1.7028,0,0
500504,0.0131,0,0
500505,3.9783,0,0
500506,8.4922,0,0
500507,0.2563,0,1
500508,0.1725,0,0
500509,0.0144,0,0
500510,433.9386,1,0
500511,0.0901,0,1
500512,59.3529,0,0
500513,389.7381,1,0
500514,779.5661,1,0
500515,35.4294,0,0
500516,299.1875,1,0
500517,6.8088,0,0
500518,467.7561,1,1
500519,24.5786,0,0
500520,526.7492,1,0
500521,311.9193,1,0
500522,292.1061,1,0
500523,2.9562,0,1
500524,16.6568,0,0
500525,0.0151,0,0
500526,536.1805,1,0
500527,709.3931,1,0
500528,466.1486,1,1
500529,2.1819,0,0
500530,338.3333,1,0
500531,45.8379,0,1
500532,1.3504,0,0
500533,4.4624,0,0
500534,0.6385,0,0
500535,19.4049,0,0
500536,0.1453,0,0
500537,0.0197,0,0
500538,8.1518,0,0
500539,0.0185,0,0
500540,272.8080,1,0
500541,0.0474,0,0
500542,18.6889,0,0
500543,12.2455,0,0
500544,293.2179,1,0
500545,325.7923,1,0
500546,493.5491,1,0
500547,3.2204,0,0
500548,62.9424,0,0
500549,0.0297,0,0
500550,655.3079,1,0
500551,7.1998,0,0
500552,0.1233,0,0
500553,207.4716,1,0
500554,1.2955,0,0
500555,0.5172,0,0
500556,66.9916,0,0
500557,0.1065,0,1
500558,0.1332,0,0
500559,78.9556,0,1
