category	confidence	name_sim	first_match	coauth_jaccard	ref_jaccard	shared_papers	papers_a	papers_b	total_papers	in_500	name_a	name_b	decision
SAME_PERSON	0.797	0.909	1.0	0.600	0.462	0	1	1	2	2	Nicole Neubarth	Nicole N. Neubarth	
SAME_PERSON	0.763	0.933	1.0	0.333	0.641	0	4	1	5	3	Ingrid Andrade	Ingrid V Andrade	
SAME_PERSON	0.746	0.880	1.0	0.600	0.176	0	1	1	2	2	Fabian C. Roth	Fabian Roth	
SAME_PERSON	0.730	0.759	0.7	1.000	0.000	0	1	1	2	2	J. Friedman	Jerome H. Friedman	
SAME_PERSON	0.727	0.903	1.0	0.333	0.453	0	1	2	3	2	Caitlyn A. Bishop	Caitlyn Bishop	
DIFFERENT_PEOPLE	0.700	1.000	1.0	1.000	0.000	1	1	1	2	0	 Zamin Iqbal 	 Zamin Iqbal	
SAME_PERSON	0.695	0.870	1.0	0.286	0.373	0	3	1	4	0	Zhang J. Chen	Zhang Chen	
SAME_PERSON	0.681	0.897	0.7	0.600	0.111	0	1	1	2	1	Gregory S. Couch	Greg S. Couch	
SAME_PERSON	0.678	0.952	0.7	0.600	0.000	0	1	1	2	0	Ji-Youn Seo	Ji‐Youn Seo	
SAME_PERSON	0.672	0.778	0.7	0.750	0.000	0	1	1	2	0	Fan Yang	Fujun Yang	
SAME_PERSON	0.651	0.971	1.0	0.000	0.389	0	1	1	2	1	Leighton H. Duncan	Leighton H Duncan	
LIKELY_SAME	0.648	0.960	1.0	0.000	0.389	0	1	1	2	1	Mark W. Moyle	Mark W Moyle	
LIKELY_SAME	0.641	0.963	1.0	0.143	0.100	0	1	1	2	2	Agnes L. Bodor	Agnes L Bodor	
LIKELY_SAME	0.633	0.971	1.0	0.143	0.026	0	1	1	2	1	Evan R Daugharthy	Evan R. Daugharthy	
LIKELY_SAME	0.629	0.957	0.7	0.400	0.000	0	1	1	2	0	Der‐Fen Suen	Der-Fen Suen	
LIKELY_SAME	0.627	0.970	1.0	0.000	0.231	0	1	1	2	1	Lukas C Kapitein	Lukas C. Kapitein	
LIKELY_SAME	0.614	0.968	1.0	0.000	0.144	0	6	1	7	1	Ross D. Markello	Ross D Markello	
LIKELY_SAME	0.610	0.917	1.0	0.056	0.112	0	4	1	5	1	Ben Fulcher	Ben D Fulcher	
LIKELY_SAME	0.601	0.842	0.7	0.000	0.667	0	1	1	2	2	M. P. Young	MP Young	
DIFFERENT_PEOPLE	0.594	0.615	0.7	0.600	1.000	1	1	1	2	0	Salman Khan	Sher Afzal Khan	
LIKELY_SAME	0.594	0.974	1.0	0.000	0.000	0	1	3	4	2	Joshua T. Vogelstein	Joshua T Vogelstein	
LIKELY_SAME	0.592	0.909	1.0	0.000	0.095	0	2	1	3	1	Patricia K. Rivlin	Patricia Rivlin	
LIKELY_SAME	0.588	1.000	0.7	0.167	0.043	0	12	1	13	6	Albert-Ĺaszló Barabási	Albert-László Barabási	
LIKELY_SAME	0.586	0.944	1.0	0.000	0.000	0	1	5	6	1	Steven L. Petersen	Steven E. Petersen	
LIKELY_SAME	0.583	0.933	1.0	0.000	0.000	0	1	2	3	0	Robert G. Smith	Robert E. Smith	
LIKELY_SAME	0.582	0.667	0.7	0.400	0.169	0	1	2	3	0	M. P. Schmidt	Martin Schmidt	
LIKELY_SAME	0.577	0.667	0.7	0.000	0.800	0	1	1	2	2	Albert-László Barabási	A.-L. Barabási	
LIKELY_SAME	0.576	0.903	1.0	0.000	0.000	0	4	15	19	9	Stephen J Smith	Stephen M. Smith	
LIKELY_SAME	0.570	0.786	0.7	0.333	0.000	0	1	1	2	0	G M Edelman	Gerald M. Edelman	
DIFFERENT_PEOPLE	0.565	0.774	0.7	0.429	0.828	1	2	1	3	2	Mahaly Baptiste	Maya R. Baptiste	
LIKELY_SAME	0.562	0.850	1.0	0.000	0.000	0	1	1	2	0	Søren T. Christensen	Søren Rahn Christensen	
LIKELY_SAME	0.561	0.615	0.7	0.167	0.500	0	1	1	2	1	Satoshi Ogawa	Shotaro Ogawa	
LIKELY_SAME	0.559	0.778	0.7	0.000	0.500	0	1	1	2	0	Jielin Xu	Jingli Xu	
LIKELY_SAME	0.557	0.667	0.7	0.000	0.667	0	2	1	3	3	Hawoong Jeong	H. Jeong	
LIKELY_SAME	0.556	0.917	0.7	0.077	0.120	0	4	1	5	2	Josh Morgan	Joshua Morgan	
LIKELY_SAME	0.554	0.762	0.7	0.250	0.074	0	2	1	3	1	Giulio Tononi	G Tononi	
LIKELY_SAME	0.552	0.800	0.7	0.250	0.000	0	1	1	2	2	JK Stevens	John K. Stevens	
LIKELY_SAME	0.551	0.842	0.7	0.000	0.333	0	1	1	2	0	Xinan Zhang	Xi Zhang	
LIKELY_SAME	0.550	0.815	0.7	0.000	0.375	0	2	1	3	3	Jack W. Scannell	JW Scannell	
LIKELY_SAME	0.547	0.966	0.7	0.000	0.103	0	12	1	13	6	Albert Cardona	Alberto Cardona	
LIKELY_SAME	0.547	0.788	0.0	0.571	0.378	0	2	1	3	0	Luke E. Brezovec	Bella E. Brezovec	
LIKELY_SAME	0.546	0.824	0.7	0.000	0.333	0	1	1	2	0	Yuanhua Li	Yuan Li	
LIKELY_SAME	0.545	0.812	0.7	0.000	0.348	0	1	1	2	2	Michael Newman	Michelle G. Newman	
LIKELY_SAME	0.540	1.000	0.7	0.000	0.000	0	1	1	2	1	Fabián Pedregosa	Fabian Pedregosa	
LIKELY_SAME	0.534	0.974	0.7	0.000	0.000	0	1	1	2	1	Jean‐Baptiste Poline	Jean-Baptiste Poline	
LIKELY_SAME	0.533	0.786	0.7	0.000	0.308	0	1	1	2	2	Z. N. Oltvai	Zoltán N. Oltvai	
LIKELY_SAME	0.532	0.968	0.7	0.000	0.000	0	1	1	2	1	M‐Marsel Mesulam	M.‐Marsel Mesulam	
LIKELY_SAME	0.529	0.923	0.7	0.000	0.053	0	1	2	3	3	Y Wang	Yi Wang	
LIKELY_SAME	0.527	0.947	0.7	0.000	0.000	0	1	1	2	0	Yuan Wang	Yuhan Wang	
