10.1007/s00138-020-01060-x	Deep learning in medical image registration: a survey	Machine Vision and Applications	The establishment of image correspondence through robust image registration is critical to many clinical tasks such as image fusion, organ atlas creation, and tumor growth monitoring and is a very challenging problem. Since the beginning of the recent deep lea
10.1016/bs.pbr.2019.05.004	The human connectome from an evolutionary perspective.	Progress in Brain Research	The connectome describes the comprehensive set of neuronal connections of a species' central nervous system. Identifying the network characteristics of the human macroscale connectome and comparing these features with connectomes of other species provides insi
10.1371/journal.pgen.1008589	Identifying neural substrates of competitive interactions and sequence transitions during mechanosensory responses in Drosophila	PLoS Genetics	Nervous systems have the ability to select appropriate actions and action sequences in response to sensory cues. The circuit mechanisms by which nervous systems achieve choice, stability and transitions between behaviors are still incompletely understood. To i
10.1002/glia.24241	Novel mechanism of hypoxic neuronal injury mediated by non-excitatory amino acids and astroglial swelling	bioRxiv	Bleeding into cerebral parenchyma during hemorrhagic stroke or head trauma leads to ischemia and release of plasmatic content, including amino acids (AA). Although excitotoxic AA have been extensively studied, little is known about non-excitatory AA during hyp
10.1016/j.isci.2023.106182	Efficient inference of synaptic plasticity rule with Gaussian process regression	iScience	Summary Finding the form of synaptic plasticity is critical to understanding its functions underlying learning and memory. We investigated an efficient method to infer synaptic plasticity rules in various experimental settings. We considered biologically plaus
10.1016/j.neuron.2011.10.015	Activity-dependent clustering of functional synaptic inputs on developing hippocampal dendrites.	Neuron	During brain development, before sensory systems become functional, neuronal networks spontaneously generate repetitive bursts of neuronal activity, which are typically synchronized across many neurons. Such activity patterns have been described on the level o
10.1515/revneuro-2022-0011	Processing of cell assemblies in the lateral entorhinal cortex	Reviews in the Neurosciences	Abstract There is evidence that olfactory cortex responds to its afferent input with the generation of cell assemblies: collections of principal neurons that fire together over a time scale of tens of ms. If such assemblies form an odor representation, then a 
10.1002/glia.21258	VGLUT1 is localized in astrocytic processes in several brain regions	Glia	During the last years, the concept of gliotransmission has been established. Glutamate has been shown to be released from astrocytes by different mechanisms, e.g., in an exocytotic manner. The authors have previously shown that astrocytes in the dentate‐molecu
10.1371/journal.pbio.1000572	Laminar Analysis of Excitatory Local Circuits in Vibrissal Motor and Sensory Cortical Areas	PLoS Biology	Optical and electrophysiological tools were used to map out the neural circuits within and between cortical layers in three different brain regions, and the results suggest regional specializations for sensory versus motor information processing.
10.1016/j.celrep.2025.116847	From comparative connectomics to large-scale working memory modeling in macaque and marmoset	Cell Reports	SUMMARY Although macaques and marmosets are both primates of choice for studying the brain mechanisms of cognition, they differ in key aspects of anatomy and behavior. Interestingly, a recent connectomic analysis revealed that strong top-down projections from 
10.1002/glia.20082	Role for glia in synaptogenesis	Glia	Abstract Nearly one‐half of the cells in a human brain are astrocytes, but the function of these little cells remains a great mystery. Astrocytes form an intimate association with synapses throughout the adult CNS, where they help regulate ion and neurotransmi
10.1016/j.devcel.2019.10.008	Parallel processing of two mechanosensory modalities by a single neuron in C. elegans	Developmental Cell	Summary Neurons convert synaptic or sensory inputs into cellular outputs. It is not well understood how a single neuron senses, processes multiple stimuli, and generates distinct neuronal outcomes. Here we describe the mechanism by which the C. elegans PVD neu
10.3390/bdcc7040179	Toward Morphologic Atlasing of the Human Whole Brain at the Nanoscale	Big Data and Cognitive Computing	Although no dataset at the nanoscale for the entire human brain has yet been acquired and neither a nanoscale human whole brain atlas has been constructed, tremendous progress in neuroimaging and high-performance computing makes them feasible in the non-distan
10.1016/j.proghi.2016.04.001	A survey of clearing techniques for 3D imaging of tissues with special reference to connective tissue.	Progress in Histochemistry and Cytochemi	For 3-dimensional (3D) imaging of a tissue, 3 methodological steps are essential and their successful application depends on specific characteristics of the type of tissue. The steps are 1° clearing of the opaque tissue to render it transparent for microscopy,
10.1162/neco_a_00883	Identification of Stable Spike-Timing-Dependent Plasticity from Spiking Activity with Generalized Multilinear Modeling	Neural Computation	Characterization of long-term activity-dependent plasticity from behaviorally driven spiking activity is important for understanding the underlying mechanisms of learning and memory. In this letter, we present a computational framework for quantifying spike-ti
10.1016/j.cois.2020.09.012	Insect lifestyle and evolution of brain morphology.	Current Opinion in Insect Science	Insect lifestyles are extremely diversified and have important consequences for brain function. Lifestyle determines the resources and information that brains have access to, but also those that are required, to produce adaptive behaviors. Most of the observed
