10.1016/j.media.2023.102768	Unpaired mesh-to-image translation for 3D fluorescent microscopy images of neurons	Medical Image Anal.	While Generative Adversarial Networks (GANs) can now reliably produce realistic images in a multitude of imaging domains, they are ill-equipped to model thin, stochastic textures present in many large 3D fluorescent microscopy (FM) images acquired in biologica
10.1155/2010/769207	Dendritic Spines and Development: Towards a Unifying Model of Spinogenesis—A Present Day Review of Cajal's Histological Slides and Drawings	Journal of Neural Transplantation and Pl	Dendritic spines receive the majority of excitatory connections in the central nervous system, and, thus, they are key structures in the regulation of neural activity. Hence, the cellular and molecular mechanisms underlying their generation and plasticity, bot
10.1016/0006-8993(84)91174-0	Dopamine-containing amacrine cells of rhesus monkey retina parallel rods in spatial distribution.	Brain Research	Dopamine-containing amacrine cells of rhesus monkey were found everywhere outside of the foveola in whole, flat retinas by the formaldehyde-glutaraldehyde fluorescent method. There were about 7500 such cells in a single retina and their density, determined by 
10.3389/fnbeh.2017.00102	Generating Executable Models of the Drosophila Central Complex	Frontiers in Behavioral Neuroscience	The central complex (CX) is a set of neuropils in the center of the fly brain that have been implicated as playing an important role in vision-mediated behavior and integration of spatial information with locomotor control. In contrast to currently available d
10.1016/j.neubiorev.2025.106417	The Cognitive Neuroscience of Memory Representations	Neuroscience and Biobehavioral Reviews	The present paper considers the cognitive neuroscience of memory from a representational perspective with the aim of shedding light on current empirical and theoretical issues. We focus on episodic memory, differentiating active versus latent, and cognitive ve
10.1016/j.celrep.2017.09.040	Overproduction of neurons is correlated with enhanced cortical ensembles and increased perceptual discrimination	Cell Reports	Summary Brains vary greatly in neuron number and density, even across individuals within the same species, yet it remains unclear if such variation leads to differences in brain function or behavior. By imaging cortical activity of a mouse model where neuronal
10.1101/2022.08.11.503144	Modeling and simulation of neocortical micro- and mesocircuitry (Part I, anatomy)	bioRxiv	The function of the neocortex is fundamentally determined by its repeating microcircuit motif, but also by its rich, interregional connectivity. We present a data-driven computational model of the anatomy of non-barrel primary somatosensory cortex of juvenile 
10.3109/01913123.2015.1043416	Lipofuscin Granules in the Epileptic Human Temporal Neocortex with Age	Ultrastructural Pathology	Lipofuscin granules (LGs), the "age pigments", are autofluorescent cell products from lysosomes that diverge in number and size among brain regions. Human temporal cortex from 20- to 55-year-old epileptic subjects were studied with the fat soluble dye Sudan Bl
10.1038/s41586-019-1034-5	A Potassium Channel β Subunit Couples Mitochondrial Electron Transport to Sleep	Nature	The essential but enigmatic functions of sleep1,2 must be reflected in molecular changes sensed by the brain’s sleep-control systems. In the fruitfly Drosophila, about two dozen sleep-inducing neurons3 with projections to the dorsal fan-shaped body (dFB) adjus
10.3389/fncir.2016.00041	Hebbian Wiring Plasticity Generates Efficient Network Structures for Robust Inference with Synaptic Weight Plasticity	bioRxiv	In the adult mammalian cortex, a small fraction of spines are created and eliminated every day, and the resultant synaptic connection structure is highly nonrandom, even in local circuits. However, it remains unknown whether a particular synaptic connection st
10.3389/fnsys.2012.00043	MR connectomics: a conceptual framework for studying the developing brain	Frontiers in Systems Neuroscience	The combination of advanced neuroimaging techniques and major developments in complex network science, have given birth to a new framework for studying the brain: “connectomics.” This framework provides the ability to describe and study the brain as a dynamic 
10.1073/pnas.1304921110	Connectome	Proceedings of the National Academy of S	Proceedings of the National Academy of Sciences (PNAS), a peer reviewed journal of the National Academy of Sciences (NAS) - an authoritative source of high-impact, original research that broadly spans the biological, physical, and social sciences.
10.1177/10738584261445356	Perisynaptic Astrocytic Processes as Communication Hubs and Early Sites of Dysfunction	The Neuroscientist	Astrocytes play key roles in shaping the synaptic environment, yet the cellular structures through which they interact with individual synapses remain incompletely understood. Perisynaptic astrocytic processes (PAPs) are ultrathin astrocytic leaflets that vari
10.3389/neuro.01.1.1.010.2007	Ultrastructure of Dendritic Spines: Correlation Between Synaptic and Spine Morphologies	Frontiers in Neuroscience	Dendritic spines are critical elements of cortical circuits, since they establish most excitatory synapses. Recent studies have reported correlations between morphological and functional parameters of spines. Specifically, the spine head volume is correlated w
10.1109/iccvw69036.2025.00604	From Natural to Nanoscale: Training ControlNet on Scarce FIB-SEM Data for Augmenting Semantic Segmentation Data	2025 IEEE/CVF International Conference o	Focused Ion Beam Scanning Electron Microscopy (FIB-SEM) is widely used for ultrastructural imaging, with segmentation of FIB-SEM stacks being essential for down-stream quantification and biological analysis. However, manual annotation of these datasets is labo
10.1016/j.neuron.2024.08.015	The sodium-bicarbonate cotransporter Slc4a5 mediates feedback at the first synapse of vision	Neuron	Summary Feedback at the photoreceptor synapse is the first neuronal circuit computation in vision, which influences downstream activity patterns within the visual system. Yet, the identity of the feedback signal and the mechanism of synaptic transmission are s
10.1126/sciadv.ads2852	Nervous system–wide analysis of all C. elegans cadherins reveals neuron-specific functions across multiple anatomical scales	Science Advances	Differential expression of cell adhesion proteins is a hallmark of cell-type diversity across the animal kingdom. Gene family-wide characterization of their organismal expression and function is, however, lacking. Using genome-engineered reporter alleles, we e
10.1080/10407413.2026.2651681	Contrasting Success in Neurotechnology: Sensory Substitution, Brain–Computer Interfaces, and the Limits of Dimensional Reduction	Ecological psychology	Abstract Neurotechnologies interfacing with sensory and motor systems have achieved markedly different outcomes despite pursuing similar restorative goals. Sensory substitution devices—which convert visual information to tactile or auditory signals with three 
10.1016/j.cub.2024.09.048	Substance P and dopamine form a “push-pull” system that diurnally regulates retinal gain	Current Biology	Summary The operation of the retina, like other brain circuits, is under modulatory control. One coordinator of changes in retinal function is dopamine, a neuromodulator released in a light-dependent way to adjust vision on a diurnal cycle. Here, we demonstrat
10.1093/cercor/bhq256	Locally synchronized astrocytes.	Cerebral Cortex	Astrocytes exhibit spontaneous calcium fluctuations. These activities have not been captured by large-scale recordings, and little is known about their collective dynamics. In situ and in vivo calcium imaging from hundreds (up to 2195) of astrocytes in the mou
10.1214/11-aoas467	Efficient methods for sampling spike trains in networks of coupled neurons		Monte Carlo approaches have recently been proposed to quantify connectivity in neuronal networks. The key problem is to sample from the conditional distribution of a single neuronal spike train, given the activity of the other neurons in the network. Dependenc
10.3389/fcell.2023.1076736	Light and focused ion beam microscopy workflow for resin-embedded tissues	Frontiers in Cell and Developmental Biol	Although the automated image acquisition with the focused ion beam scanning electron microscope (FIB-SEM) provides volume reconstructions, volume analysis of large samples remains challenging. Here, we present a workflow that combines a modified sample protoco
10.1091/mbc.e20-02-0156	AnnotatorJ: an ImageJ plugin to ease hand annotation of cellular compartments	bioRxiv	AnnotatorJ combines single-cell identification with deep learning and manual annotation. Cellular analysis quality depends on accurate and reliable detection and segmentation of cells so that the subsequent steps of analyses e.g. expression measurements may be
10.1128/mcb.01844-07	Staufen1 Regulation of Protein Synthesis-Dependent Long-Term Potentiation and Synaptic Function in Hippocampal Pyramidal Cells	Molecular and Cellular Biology	Staufen1 (Stau1) is an RNA-binding protein involved in transport, localization, decay, and translational control of mRNA. In neurons, it is present in cell bodies and also in RNA granules which are transported along dendrites. Dendritic mRNA localization might
10.1038/s41593-025-01942-1	Dynamics of glia and neurons regulate homeostatic rest, sleep and feeding behavior in Drosophila	Nature Neuroscience	Homeostatic processes, including sleep, are critical for brain function. Here we identify astrocyte-like glia (or astrocytes, AL) and ensheathing glia (EG), the two major classes of glia that arborize inside the brain, as brain-wide, locally acting homeostats 
10.1038/s41422-026-01218-8	The axon initial segment-associated microglia regulate neuronal activity and visual perception	Cell Research	As innate immune cells in the brain, microglia directly contact excitatory neurons and regulate their activities under various conditions; however, the mechanisms of direct microglia–neuron functional interactions remain largely unknown. Here, we identified on
10.1073/pnas.1618551114	Molecular codes for cell type specification in Brn3 retinal ganglion cells	Proceedings of the National Academy of S	Significance We report here transcriptome analysis by RNA sequencing (RNASeq) of genetically labeled and affinity-purified mouse retinal ganglion cell (RGC) populations. Using a previously established conditional knock-in reporter strategy, we label RGCs from 
10.1016/j.cophys.2018.04.004	Sex differences in Drosophila behavior: Qualitative and Quantitative Dimorphism	Current Opinion in Physiology	The importance of sex as a biological variable is being recognized by more and more researchers, including those using Drosophila melanogaster as a model organism. Differences between the two sexes are not confined to well-known reproductive behaviors, but inc
10.48550/arxiv.2406.19708	<NO TITLE>		We present a multi-scale differentiable brain modeling workflow utilizing BrainPy, a unique differentiable brain simulator that combines accurate brain simulation with powerful gradient-based optimization. We leverage this capability of BrainPy across differen
10.1038/s41467-024-47278-5	Dynamic encoding of temperature in the central circadian circuit coordinates physiological activities	Nature Communications	The circadian clock regulates animal physiological activities. How temperature reorganizes circadian-dependent physiological activities remains elusive. Here, using in-vivo two-photon imaging with the temperature control device, we investigated the response of
10.1016/j.celrep.2021.110128	Microglia sense neuronal activity via GABA in the early postnatal hippocampus.	Cell Reports	Microglia, the resident macrophages in the central nervous system, express receptors for classical neurotransmitters, such as γ-aminobutyric acid (GABA) and glutamate, suggesting that they sense synaptic activity. To detect microglial Ca2+ responses to neurona
10.1016/j.neubiorev.2012.02.006	Left-right asymmetries of behaviour and nervous system in invertebrates.	Neuroscience and Biobehavioral Reviews	Evidence of left-right asymmetries in invertebrates has begun to emerge, suggesting that lateralization of the nervous system may be a feature of simpler brains as well as more complex ones. A variety of studies have revealed sensory and motor asymmetries in b
10.1016/j.conb.2018.10.011	Function first: classifying cell types and circuits of the retina.	Current Opinion in Neurobiology	Cell type classification has been a major part of retina research for over one hundred years. In recent years, the ability to sample large populations of retinal cells has accelerated cell type classification based on different criteria like genetics, morpholo
10.3389/fncel.2019.00052	Genetically Encoded Voltage Indicators Are Illuminating Subcellular Physiology of the Axon	Frontiers in Cellular Neuroscience	Everything we see and do is regulated by electrical signals in our nerves and muscle. Ion channels are crucial for sensing and generating electrical signals. Two voltage-dependent conductances, Na+ and K+, form the bedrock of the electrical impulse in the brai
10.64898/2026.08.06.743205	Cortico-subcortical multi-head self-attention as a substrate for cognitive performance	bioRxiv	The neocortex is central to mammalian cognition, yet a computational framework that is both biologically constrained and capable of performing complex cognitive tasks remains missing. Here we show that cortico-thalamic circuits are well suited to implement mul
10.1007/s11571-014-9314-0	Noise-induced burst and spike synchronizations in an inhibitory small-world network of subthreshold bursting neurons	Cognitive Neurodynamics	We are interested in noise-induced firings of subthreshold neurons which may be used for encoding environmental stimuli. Noise-induced population synchronization was previously studied only for the case of global coupling, unlike the case of subthreshold spiki
10.1016/b978-0-323-85280-7.00014-2	Beyond the shortest path—diffusion-based routing strategies	Connectome Analysis	
10.1038/nature17936	PRINCIPLES UNDERLYING SENSORY MAP TOPOGRAPHY IN PRIMARY VISUAL CORTEX	Nature	The primary visual cortex contains a detailed map of the visual scene, which is represented according to multiple stimulus dimensions including spatial location, ocular dominance and stimulus orientation. The maps for spatial location and ocular dominance aris
10.1038/nrn3878	Disentangling calcium-driven astrocyte physiology	Nature Reviews Neuroscience	Astrocytes seem to rely on relatively sluggish and spatially blurred Ca(2+) waves to communicate with fast and point-precise neural circuits. This apparent discrepancy could, however, reflect our current inability to understand the microscopic mechanisms invol
10.3389/fnbeh.2023.1140657	In search of behavioral and brain processes involved in honey bee dance communication	Frontiers in Behavioral Neuroscience	Honey bees represent an iconic model animal for studying the underlying mechanisms affecting advanced sensory and cognitive abilities during communication among colony mates. After von Frisch discovered the functional value of the waggle dance, this complex mo
10.1038/s41467-018-05896-w	Disentangling astroglial physiology with a realistic cell model in silico	Nature Communications	Electrically non-excitable astroglia take up neurotransmitters, buffer extracellular K+ and generate Ca2+ signals that release molecular regulators of neural circuitry. The underlying machinery remains enigmatic, mainly because the sponge-like astrocyte morpho
