10.1016/j.neuroimage.2018.06.049	Validation strategies for the interpretation of microstructure imaging using diffusion MRI	NeuroImage	Extracting microanatomical information beyond the image resolution of MRI would provide valuable tools for diagnostics and neuroscientific research. A number of mathematical models already suggest microstructural interpretations of diffusion MRI (dMRI) data. E
10.1002/cpns.91	Protocol for assessing neuron-astrocyte spatial interactions using the neuron-astrocyte proximity assay	Current Protocols in Neuroscience	Astrocytes are morphologically complex cells with numerous close contacts with neurons at the level of their somata, branches, and branchlets. The smallest astrocyte processes make discrete contacts with synapses at scales that cannot be observed by standard l
10.1038/srep27000	A screen for constituents of motor control and decision making in Drosophila reveals visual distance-estimation neurons	Scientific Reports	Climbing over chasms larger than step size is vital to fruit flies, since foraging and mating are achieved while walking. Flies avoid futile climbing attempts by processing parallax-motion vision to estimate gap width. To identify neuronal substrates of climbi
10.1152/jn.00651.2007	Quantitative assessment of the distributions of membrane conductances involved in action potential backpropagation along basal dendrites.	Journal of Neurophysiology	Basal dendrites of prefrontal cortical neurons receive strong synaptic drive from recurrent excitatory synaptic inputs. Synaptic integration within basal dendrites is therefore likely to play an important role in cortical information processing. Both synaptic 
10.1038/s41467-026-69392-2	Efficient pheromone navigation via antagonistic detectors in Caenorhabditis elegans male	bioRxiv	Chemotaxis to a moving potential mate that emits a volatile sex pheromone poses a navigation challenge requiring rapid, precise responses to maximize reproductive success. Volatile chemicals form gradients that differ from soluble compounds, potentially making
10.1101/2022.06.02.491151	Crosshair, semi-automated targeting for electron microscopy with a motorised ultramicrotome	bioRxiv	Volume electron microscopy (EM) is a time consuming process - often requiring weeks or months of continuous acquisition for large samples. In order to compare the ultrastructure of a number of individuals or conditions, acquisition times must therefore be redu
10.1017/s0952523800011391	Localization of the CD15 carbohydrate epitope in the vertebrate retina	Visual Neuroscience	Abstract The distribution of the carbohydrate epitope CD 15, a putative cell adhesion molecule, was studied in adult vertebrate retinas by light-microscopic immunohistochemistry. Except for Old World primates, in which no immunoreactivity was detectable, all o
10.3389/fncir.2013.00185	Classification of neocortical interneurons using affinity propagation	Front. Neural Circuits	In spite of over a century of research on cortical circuits, it is still unknown how many classes of cortical neurons exist. In fact, neuronal classification is a difficult problem because it is unclear how to designate a neuronal cell class and what are the b
10.1002/embj.201387110	Developmental refinement of hair cell synapses tightens the coupling of Ca2+ influx to exocytosis	EMBO Journal	Cochlear inner hair cells (IHCs) develop from pre-sensory pacemaker to sound transducer. Here, we report that this involves changes in structure and function of the ribbon synapses between IHCs and spiral ganglion neurons (SGNs) around hearing onset in mice. A
10.1007/s00359-019-01315-7	Brain evolution in social insects: advocating for the comparative approach	Journal of Comparative Physiology	Sociality is classified as one of the major transitions in the evolution of complexity and much effort has been dedicated to understanding what traits predispose lineages to sociality. Conversely, studies addressing the role of sociality in brain evolution (e.
10.1038/srep36228	Simultaneous multi-patch-clamp and extracellular-array recordings: Single neuron reflects network activity	Scientific Reports	The increasing number of recording electrodes enhances the capability of capturing the network’s cooperative activity, however, using too many monitors might alter the properties of the measured neural network and induce noise. Using a technique that merges si
10.1016/j.neuron.2020.08.005	A Systematic Nomenclature for the Drosophila Ventral Nerve Cord	Neuron	Summary Drosophila melanogaster is an established model for neuroscience research with relevance in biology and medicine. Until recently, research on the Drosophila brain was hindered by the lack of a complete and uniform nomenclature. Recognizing this, Ito et
10.3389/fnmol.2023.1292685	Cortical circuit dynamics underlying motor skill learning: from rodents to humans	Frontiers in Molecular Neuroscience	Motor learning is crucial for the survival of many animals. Acquiring a new motor skill involves complex alterations in both local neural circuits in many brain regions and long-range connections between them. Such changes can be observed anatomically and func
10.48550/arxiv.2504.03031	<NO TITLE>		Neuronal circuits of the cerebral cortex are the structural basis of mammalian cognition. The same qualitative components and connectivity motifs are repeated across functionally specialized cortical areas and mammalian species, suggesting a single underlying 
10.1093/bioinformatics/bty210	Comparative analysis of tissue reconstruction algorithms for 3D histology	Bioinform.	Abstract Motivation Digital pathology enables new approaches that expand beyond storage, visualization or analysis of histological samples in digital format. One novel opportunity is 3D histology, where a three-dimensional reconstruction of the sample is forme
10.1101/441071	Artificial neural network filters for enhancing 3D optical microscopy images of neurites	bioRxiv	The ability to extract accurate morphology of labeled neurons from microscopy images is crucial for mapping brain connectivity and for understanding changes in connectivity that underlie learning and memory formation. There are, however, two problems, specific
10.1007/978-1-0716-0691-9_14	Forget About Electron Micrographs: A Novel Guide for Using for Quantitative Analysis of Dense Reconstructions	Neuromethods	
10.64898/2026.04.03.716412	A retinotopic wiring principle of the human brain	bioRxiv	Summary paragraph A central challenge in neuroscience is to understand how anatomical connectivity links neural representations to behavior. In sensory systems, cortical areas encode structured maps of the external world, yet it remains unclear whether and how
10.1162/netn_a_00246	Percolation may explain efficiency, robustness, and economy of the brain	Network Neuroscience	Abstract The brain consists of billions of neurons connected by ultra-dense synapses, showing remarkable efficiency, robust flexibility, and economy in information processing. It is generally believed that these advantageous properties are rooted in brain conn
10.1016/j.conb.2020.12.017	Frozen algorithms: how the brain's wiring facilitates learning	Current Opinion in Neurobiology	Highlights • Theory tells us why learning is hard to implement in the brain using local plasticity mechanisms.• These difficulties can be overcome by feedback pathways and redundant connectivity.• Connectomics reveals such connectivity motifs in learning cente
10.1101/2022.04.27.489714	Diverse states and stimuli tune olfactory receptor expression levels to modulate food-seeking behavior	bioRxiv	Animals must weigh competing needs and states to generate adaptive behavioral responses to the environment. Sensorimotor circuits are thus tasked with integrating diverse external and internal cues relevant to these needs to generate context-appropriate behavi
10.1093/cercor/bhae405	Reconciliation of weak pairwise spike–train correlations and highly coherent local field potentials across space	Cerebral Cortex	Abstract Multi-electrode arrays covering several square millimeters of neural tissue provide simultaneous access to population signals such as extracellular potentials and spiking activity of one hundred or more individual neurons. The interpretation of the re
10.1109/ijcnn55064.2022.9892549	Continuous State Estimation With Synapse-constrained Connectivity	IEEE International Joint Conference on N	Continuous state estimation is a fundamental problem addressed by neural systems which underlies complex capabilities such as navigation. While studies in heading direction estimation of the fruit fly D. melanogaster have uncovered how this computation can be 
10.1038/s41592-026-03125-7	Simultaneous two- and three-photon multiplane imaging across cortical layers in freely moving mice	Nature Methods	Head-mounted multiphoton microscopes enable imaging of activity from neuronal populations spread throughout the cortical layers in freely moving mice but so far have been restricted to recording from one cortical layer at a time. Here, combining two- and three
10.1016/j.tins.2015.07.008	The neuronal identity bias behind neocortical GABAergic plasticity.	Trends in Neurosciences	In the neocortex, different types of excitatory and inhibitory neurons connect to one another following a detailed blueprint, defining functionally-distinct subnetworks, whose activity and modulation underlie complex cognitive functions. We review the cell-aut
10.64898/2026.05.31.729097	Homeostatic Plasticity Enables Stable yet Tunable Neuronal Assemblies	bioRxiv	Strongly interconnected neuronal populations, called assemblies, dynamically form through synaptic plasticity mechanisms and are thought to be a substrate for memories in the brain. Many assembly formation models use Hebbian excitatory-to-excitatory plasticity
10.1371/journal.pbio.3002843	Dopamine neurons that inform Drosophila olfactory memory have distinct, acute functions driving attraction and aversion	bioRxiv	The brain must guide immediate responses to beneficial and harmful stimuli while simultaneously writing memories for future reference. While both immediate actions and reinforcement learning are instructed by dopamine, how dopaminergic systems maintain coheren
10.1371/journal.pone.0200693	Quintuple labeling in the electron microscope with genetically encoded enhanced horseradish peroxidase	PLoS ONE	Genetic encoded multilabeling is essential for modern cell biology. In fluorescence microscopy this need has been satisfied by the development of numerous color-variants of the green fluorescent protein. In electron microscopy, however, true genetic encoded mu
