10.3389/fnhum.2013.00918	Allocating structure to function: the strong links between neuroplasticity and natural selection	Frontiers in Human Neuroscience	A central question in brain evolution is how species-typical behaviors, and the neural function-structure mappings supporting them, can be acquired and inherited. Advocates of brain modularity, in its different incarnations across scientific subfields, argue t
10.1371/journal.pcbi.1003949	A Statistical Method of Identifying Interactions in Neuron–Glia Systems Based on Functional Multicell Ca2+ Imaging	PLoS Comput. Biol.	Crosstalk between neurons and glia may constitute a significant part of information processing in the brain. We present a novel method of statistically identifying interactions in a neuron–glia network. We attempted to identify neuron–glia interactions from ne
10.1038/s41598-021-91244-w	A convolutional neural network for estimating synaptic connectivity from spike trains	Scientific Reports	The recent increase in reliable, simultaneous high channel count extracellular recordings is exciting for physiologists and theoreticians because it offers the possibility of reconstructing the underlying neuronal circuits. We recently presented a method of in
10.1093/med/9780197519233.001.0001	Adult Neurogenesis		Abstract Adult neurogenesis—the development of new neurons under the conditions of the adult brain—is an exception, not the rule, but we know today that the new neurons contribute to key brain functions. This particularly applies to neurogenesis in the hippoca
10.1371/journal.pgen.1003015	C. elegans Dopaminergic D2-Like Receptors Delimit Recurrent Cholinergic-Mediated Motor Programs during a Goal-Oriented Behavior	PLoS Genetics	Caenorhabditis elegans male copulation requires coordinated temporal-spatial execution of different motor outputs. During mating, a cloacal circuit consisting of cholinergic sensory-motor neurons and sex muscles maintains the male's position and executes copul
10.3389/neuro.01.030.2009	Intracortical Cartography in an Agranular Area	Frontiers in Neuroscience	A well-defined granular layer 4 is a defining cytoarchitectonic feature associated with sensory areas of mammalian cerebral cortex, and one with hodological significance: the local axons ascending from cells in thalamorecipient layer 4 and connecting to layer 
10.1186/s12915-016-0261-6	What is memory? The present state of the engram	BMC Biology	The mechanism of memory remains one of the great unsolved problems of biology. Grappling with the question more than a hundred years ago, the German zoologist Richard Semon formulated the concept of the engram, lasting connections in the brain that result from
10.1101/496414	Organizing principles of whole-brain functional connectivity in zebrafish larvae	bioRxiv	Network science has begun to reveal the fundamental principles by which large-scale brain networks are organized, including geometric constraints, a balance between segregative and integrative features, and flexible brain areas. However, it remains unknown whe
10.1016/j.tins.2012.03.008	Experimental evidence for sparse firing in the neocortex.	Trends in Neurosciences	The advent of unbiased recording and imaging techniques to evaluate firing activity across neocortical neurons has revealed substantial heterogeneity in response properties in vivo, and that a minority of neurons are responsible for the majority of spikes. Des
10.1016/j.conb.2007.11.004	Circuit reconstruction tools today.	Current Opinion in Neurobiology	To understand how a brain processes information, we must understand the structure of its neural circuits-especially circuit interconnection topologies and the cell and synapse molecular architectures that determine circuit-signaling dynamics. Our information o
10.1038/npg.els.0000110	<i>Caenorhabditis elegans</i>             Nervous System	Encyclopedia of Life Sciences	Abstract The development, differentiation and function of the Caenorhabditis elegans nervous system is understood in great detail. With the mass of molecular and cellular data available this small nematode is a powerful tool for research in the neurosciences.
10.1101/2020.01.31.929265	A Pathoconnectome of Early Neurodegeneration: Network changes in retinal degeneration	bioRxiv	Connectomics has demonstrated that synaptic networks and their topologies are precise and directly correlate with physiology and behavior. The next extension of connectomics is pathoconnectomics: to map neural network synaptology and circuit topologies corrupt
10.1016/j.tins.2008.08.006	Micro-rewiring as a substrate for learning	Trends in Neurosciences	How does the brain encode life experiences? Recent results derived from vital imaging, computational modeling, cellular physiology and systems neuroscience have pointed to local changes in synaptic connectivity as a powerful substrate, here termed micro-rewiri
10.3389/fninf.2019.00032	A Brief History of Simulation Neuroscience	Front. Neuroinform.	Our knowledge of the brain has evolved over millennia in philosophical, experimental and theoretical phases. We suggest that the next phase is simulation neuroscience. The main drivers of simulation neuroscience are big data generated at multiple levels of bra
10.1038/nature22047	Cell diversity and network dynamics in photosensitive human brain organoids	Nature	In vitro models of the developing brain such as three-dimensional brain organoids offer an unprecedented opportunity to study aspects of human brain development and disease. However, the cells generated within organoids and the extent to which they recapitulat
10.1016/j.neuroimage.2018.01.077	Cortical parcellation based on structural connectivity: A case for generative models	NeuroImage	&NA; One of the major challenges in systems neuroscience is to identify brain networks and unravel their significance for brain function –this has led to the concept of the ‘connectome’. Connectomes are currently extensively studied in large‐scale internationa
10.7554/elife.76120	Binary and analog variation of synapses between cortical pyramidal neurons	eLife	Learning from experience depends at least in part on changes in neuronal connections. We present the largest map of connectivity to date between cortical neurons of a defined type (layer 2/3 [L2/3] pyramidal cells in mouse primary visual cortex), which was ena
10.1073/pnas.1016650108	Astroglial networks scale synaptic activity and plasticity	Proceedings of the National Academy of S	Astrocytes dynamically interact with neurons to regulate synaptic transmission. Although the gap junction proteins connexin 30 (Cx30) and connexin 43 (Cx43) mediate the extensive network organization of astrocytes, their role in synaptic physiology is unknown.
10.1101/2023.04.24.538092	A single oscillating proto-hypothalamic neuron gates taxis behavior in the primitive chordate Ciona	bioRxiv	Ciona larvae display a number of behaviors, including negative phototaxis. In negative phototaxis, the larvae first perform short spontaneous rhythmic casting swims. As larvae cast in a light field, their photoreceptors are directionally shaded by an associate
10.1101/2024.01.29.577733	Spike transmission failures in axons from mouse cortical pyramidal neurons in vivo	bioRxiv	The propagation of action potentials along axons is traditionally considered to be reliable, as a consequence of the high safety factor of action potential propagation. However, numerical simulations have suggested that, at high frequencies, spikes could fail 
10.1016/j.neuron.2021.07.008	Direction selectivity in retinal bipolar cell axon terminals	Neuron	Summary The ability to encode the direction of image motion is fundamental to our sense of vision. Direction selectivity along the four cardinal directions is thought to originate in direction-selective ganglion cells (DSGCs) because of directionally tuned GAB
10.1093/oxfordjournals.jmicro.a049481	On the Fine Structure of the Chordotonal Sensillum in Antenna of Drosophila melanogaster	Journal of Electron Microscopy	Electronmicroscopical investigation was made on the fine structure of the chordotonal sensillum in antenna of Drosophila melanogaster. The sensillum is composed of a pair of sense cells, and three types of satellite cells, i. e. a scolopale cell, an envelope c
10.1016/j.celrep.2020.108382	Gbx2 Identifies Two Amacrine Cell Subtypes with Distinct Molecular, Morphological, and Physiological Properties	bioRxiv	Our understanding of how the nervous sytem works is limited by our ability to identify the neuronal subtypes that comprise functional circuits. Using a genetic approach, we show that the transcription factor Gbx2 labels two amacrine cell (AC) subtypes in the m
10.1101/2023.08.26.554928	Inhibitory feedback enables predictive learning of multiple sequences in neural networks	bioRxiv	Anticipating future events is a key computational task for neuronal networks. Experimental evidence suggests that reliable temporal sequences in neural activity play a functional role in the association and anticipation of events in time. However, how neurons 
10.1371/journal.pone.0224533	Expressional artifact caused by a co-injection marker rol-6 in C. elegans	bioRxiv	In transgenic research, selection markers have greatly facilitated the generation of transgenic animals. A prerequisite for a suitable selection marker to be used along with a test gene of interest is that the marker should not affect the phenotype of interest
10.1002/advs.202513842	Hungry for Knowledge: Octopamine Signaling Regulates Hunger‐Enhanced Olfactory Learning	Advancement of science	Hunger, a state of nutrient deficiency, significantly enhances cognitive behaviors by heightening sensitivity to food‐related stimuli. However, the mechanisms by which hunger influences olfactory learning remain unclear. In this study, it is shown that aversiv
10.1016/j.crmeth.2022.100220	Bimodal endocytic probe for three-dimensional correlative light and electron microscopy	bioRxiv	Correlative light and electron microscopy (CLEM) can infer molecular, functional and dynamic information to ultrastructure by linking information of different imaging modalities. One of the main challenges, especially in 3D-CLEM, is the accurate registration o
10.1016/j.pneurobio.2017.05.004	Uncertainty and stress: Why it causes diseases and how it is mastered by the brain	Progress in neurobiology	&NA; The term ‘stress’ – coined in 1936 – has many definitions, but until now has lacked a theoretical foundation. Here we present an information‐theoretic approach – based on the ‘free energy principle’ – defining the essence of stress; namely, uncertainty. W
10.1111/jmi.13217	Work smart, not hard: How array tomography can help increase the ultrastructure data output	Journal of Microscopy	Transmission electron microscopy has been essential for understanding cell biology for over six decades. Volume electron microscopy tools, such as serial block face and focused ion beam scanning electron microscopy acquisition, brought a new era to ultrastruct
10.1109/isbi.2016.7493275	Tracking of microtubules in anisotropic volumes of neural tissue	IEEE International Symposium on Biomedic	For both the automatic and manual reconstruction of neural circuits from electron microscopy (EM) images, the detection and identification of intracellular structures provide useful cues. This is particularly true for microtubules which are indicative of the s
10.1101/2020.02.24.963868	Connectomic analysis reveals an interneuron with an integral role in the retinal circuit for night vision	bioRxiv	The mammalian rod bipolar (RB) cell pathway is perhaps the best-studied circuit in the vertebrate retina. Its synaptic interactions with other retinal circuits, however, remain unresolved. Here, we combined anatomical and physiological analyses of the mouse re
10.1016/j.tins.2022.10.006	Regulation of circuit organization and function through inhibitory synaptic plasticity.	Trends in Neurosciences	Diverse inhibitory neurons in the mammalian brain shape circuit connectivity and dynamics through mechanisms of synaptic plasticity. Inhibitory plasticity can establish excitation/inhibition (E/I) balance, control neuronal firing, and affect local calcium conc
10.1016/s0306-4522(01)00375-x	The glial glutamate transporter GLT-1 is localized both in the vicinity of and at distance from axon terminals in the rat cerebral cortex.	Neuroscience	Glutamate transporter-1 (GLT-1) is responsible for the largest proportion of glutamate transport in the brain and the density of GLT-1 molecules inserted in the plasma membrane is highest in regions of high demand. Previous electron microscopic studies in the 
10.17151/biosa.2021.20.1.1	Bibliometric Insights into Connectomics: Chemistry and Neuroscience Perspectives	Biosalud	Introduction. Connectomics, an emerging omics science, has contributed to the preventive diagnosis of neurodegenerative diseases. This field integrates chemical and neuroscientific information, analyzing neurotransmitter functions and alterations within brain 
10.1523/jneurosci.4069-15.2016	Store-Operated Calcium Entry in Müller Glia Is Controlled by Synergistic Activation of TRPC and Orai Channels	Journal of Neuroscience	The endoplasmic reticulum (ER) is at the epicenter of astrocyte Ca2+ signaling. We sought to identify the molecular mechanism underlying store-operated calcium entry that replenishes ER stores in mouse Müller cells. Store depletion, induced through blockade of
10.1002/hipo.20872	Building and Remodeling Synapses	Hippocampus	Synaptic junctions are generated by adhesion proteins that bridge the synaptic cleft to firmly anchor pre‐ and postsynaptic membranes. Several cell adhesion molecule (CAM) families localize to synapses, but it is not yet completely understood how each synaptic
10.1371/journal.pgen.1009295	Temperature regulates synaptic subcellular specificity mediated by inhibitory glutamate signaling	PLoS Genetics	Environmental factors such as temperature affect neuronal activity and development. However, it remains unknown whether and how they affect synaptic subcellular specificity. Here, using the nematode Caenorhabditis elegans AIY interneurons as a model, we found 
10.1177/07487304251361579	miR-124 acts during Drosophila development to determine the phase of adult circadian behavior	bioRxiv	The circadian clock enables organisms to optimize their metabolism, physiology, and behavior with the time-of-day. However, circadian rhythms benefit organisms only if they are properly synchronized with the day/night cycle; circadian misalignment can have det
10.1242/jeb.112359	Neuronal polarity: an evolutionary perspective	Journal of Experimental Biology	Polarized distribution of signaling molecules to axons and dendrites facilitates directional information flow in complex vertebrate nervous systems. The topic we address here is when the key aspects of neuronal polarity evolved. All neurons have a central cell
10.1016/j.neuron.2019.12.030	Multiple Rhythm-Generating Circuits Act in Tandem with Pacemaker Properties to Control the Start and Speed of Locomotion.	Neuron	In vertebrates, specific command centers in the brain can selectively drive slow-explorative or fast-speed locomotion. However, it remains unclear how the locomotor central pattern generator (CPG) processes descending drive into coordinated locomotion. Here, w
10.1038/ncomms8775	Parallel circuits control temperature preference in Drosophila during ageing	Nature Communications	The detection of environmental temperature and regulation of body temperature are integral determinants of behaviour for all animals. These functions become less efficient in aged animals, particularly during exposure to cold environments, yet the cellular and
10.1039/c6nr07991a	3D multi-energy deconvolution electron microscopy.	Nanoscale	Three-dimensional (3D) characterization of nanomaterials is traditionally performed by either cross-sectional milling with a focused ion beam (FIB), or transmission electron microscope tomography. While these techniques can produce high quality reconstructions
10.1002/cne.23932	Dopamine D1 receptor expression is bipolar cell type-specific in the mouse retina	The Journal of comparative neurology	In the retina, dopamine is a key molecule for daytime vision. Dopamine is released by retinal dopaminergic amacrine cells and transmits signaling either by conventional synaptic or by volume transmission. By means of volume transmission, dopamine modulates all
10.3389/fnsys.2014.00233	The relationship between local field potentials (LFPs) and the electromagnetic fields that give rise to them	Frontiers in Systems Neuroscience	Recently there has been a call (Reimann et al., 2013) for a re-evaluation of the genesis of local field potentials (LFPs), a measurement deeply correlated with normal and pathological excitable cell tissue operation (Einevoll et al., 2013; Friston et al., 2014
