10.3389/fcell.2020.00477	Regulation of Neurogenesis by FGF Signaling and Neurogenin in the Invertebrate Chordate Ciona	Frontiers in Cell and Developmental Biol	Neurogenesis is a complex sequence of cellular processes and behaviors driven by the coordinated expression of conserved effectors. The bipolar tail neurons (BTNs) of Ciona develop according to a highly dynamic, yet highly stereotyped developmental program and
10.1098/rsbl.2019.0084	An optogenetic analogue of second-order reinforcement in Drosophila	Biology Letters	In insects, odours are coded by the combinatorial activation of ascending pathways, including their third-order representation in mushroom body Kenyon cells. Kenyon cells also receive intersecting input from ascending and mostly dopaminergic reinforcement path
10.1016/j.conb.2018.12.006	Neuronal identity control by terminal selectors in worms, flies, and chordates.	Current Opinion in Neurobiology	How do post-mitotic neurons acquire and maintain their terminal identity? Genetic mutant analysis in the nematode Caenorhabditis elegans has revealed common molecular programs that control neuronal identity. Neuron type-specific combinations of transcription f
10.1038/nn1565	Fine-scale specificity of cortical networks depends on inhibitory cell type and connectivity	Nature Neuroscience	Excitatory cortical neurons form fine-scale networks of precisely interconnected neurons. Here we tested whether inhibitory cortical neurons in rat visual cortex might also be connected with fine-scale specificity. Using paired intracellular recordings and cro
10.1038/s41593-018-0091-7	Nontoxic, double-deletion-mutant rabies viral vectors for retrograde targeting of projection neurons	Nature Neuroscience	Recombinant rabies viral vectors have proven useful for applications including retrograde targeting of projection neurons and monosynaptic tracing, but their cytotoxicity has limited their use to short-term experiments. Here we introduce a new class of double-
10.1038/s41467-022-32824-w	Organization of the gravity-sensing system in zebrafish	Nature Communications	Motor circuits develop in sequence from those governing fast movements to those governing slow. Here we examine whether upstream sensory circuits are organized by similar principles. Using serial-section electron microscopy in larval zebrafish, we generated a 
10.1109/tmi.2025.3589543	Frenet-Serret Frame-based Decomposition for Part Segmentation of 3D Curvilinear Structures	IEEE Transactions on Medical Imaging	Accurate segmentation of anatomical substructures within 3D curvilinear structures in medical imaging remains challenging due to their complex geometry and the scarcity of diverse, large-scale datasets for algorithm development and evaluation. In this paper, w
10.1038/ncomms13772	Glia-derived ATP inversely regulates excitability of pyramidal and CCK-positive neurons	Nature Communications	Astrocyte responds to neuronal activity with calcium waves and modulates synaptic transmission through the release of gliotransmitters. However, little is known about the direct effect of gliotransmitters on the excitability of neuronal networks beyond synapse
10.1523/jneurosci.2815-11.2011	Convergent Local Identity and Topographic Projection of Sensory Neurons	Journal of Neuroscience	Development of sensory neural circuits requires concurrent specification of neuron modality, position, and topographic projections. However, little is understood about how controls over these distinct parameters can unify in a single developmental sequence. To
10.1016/j.tics.2011.03.006	Understanding complexity in the human brain	Trends in Cognitive Sciences	Although the ultimate aim of neuroscientific enquiry is to gain an understanding of the brain and how its workings relate to the mind, the majority of current efforts are largely focused on small questions using increasingly detailed data. However, it might be
10.1101/2023.09.15.557147	A cerebellar disinhibitory circuit supports synaptic plasticity	bioRxiv	How does the cerebellum learn how to control motion? The cerebellar motor learning critically depends on the long-term depression of the synapses between granule cells and Purkinje cells, which encode motor commands and inhibitory modifications to motor output
10.1038/s41583-019-0250-1	Tissue clearing and its applications in neuroscience	Nature Reviews Neuroscience	State-of-the-art tissue-clearing methods provide subcellular-level optical access to intact tissues from individual organs and even to some entire mammals. When combined with light-sheet microscopy and automated approaches to image analysis, existing tissue-cl
10.1126/science.283.5409.1923	Rapid dendritic morphogenesis in CA1 hippocampal dendrites induced by synaptic activity.	Science	Activity shapes the structure of neurons and their circuits. Two-photon imaging of CA1 neurons expressing enhanced green fluorescent protein in developing hippocampal slices from rat brains was used to characterize dendritic morphogenesis in response to synapt
10.1111/jmi.12373	Backscattered electron SEM imaging of resin sections from plant specimens: observation of histological to subcellular structure and CLEM	Journal of Microscopy	We have refined methods for biological specimen preparation and low‐voltage backscattered electron imaging in the scanning electron microscope that allow for observation at continuous magnifications of ca. 130–70 000 X, and documentation of tissue and subcellu
10.1002/wdev.107	Building quantitative, three dimensional atlases of gene expression and morphology at cellular resolution	Wiley Interdisciplinary Reviews: Develop	Animals comprise dynamic three‐dimensional arrays of cells that express gene products in intricate spatial and temporal patterns that determine cellular differentiation and morphogenesis. A rigorous understanding of these developmental processes requires autom
10.1093/cercor/bhag068	Differentiation of cortical areas: effects of free energy minimization with broken symmetry	Cerebral Cortex	Abstract We studied separation and integration of cortical areas during cortical neurogenesis using growth simulations that depend upon matching of spatial frequencies between areas—a method equivalent to maximizing zero-lag pulse synchrony and minimizing pred
10.64898/2026.06.06.730367	ConnectoFM: A Foundation Model for Learning the Language of the Connectome	bioRxiv	Accurate reconstruction of neural circuits from electron microscopy (EM) data is central to connectomics, yet modern datasets are now so large and heterogeneous that manual annotation and dataset-specific model retraining have become major challenges. While re
10.1007/s00422-009-0320-y	Emergence of network structure due to spike-timing-dependent plasticity in recurrent neuronal networks. II. Input selectivity—symmetry breaking	Biological cybernetics	Spike-timing-dependent plasticity (STDP) is believed to structure neuronal networks by slowly changing the strengths (or weights) of the synaptic connections between neurons depending upon their spiking activity, which in turn modifies the neuronal firing dyna
10.3389/fnsys.2017.00023	Activity-Dependent Synaptic Refinement: New Insights from Drosophila	Frontiers in Systems Neuroscience	During development, neurons establish inappropriate connections as they seek out their synaptic partners, resulting in supernumerary synapses that must be pruned away. The removal of miswired synapses usually involves electrical activity, often through a Hebbi
10.1017/s0952523804215127	Gap junctional regulatory mechanisms in the AII amacrine cell of the rabbit retina	Visual Neuroscience	Gap junctions are commonplace in retina, often between cells of the same morphological type, but sometimes linking different cell types. The strength of coupling between cells derives from the properties of the connexins, but also is regulated by the intracell
10.1016/j.neuron.2017.09.047	Optogenetic Tools for Subcellular Applications in Neuroscience.	Neuron	The ability to study cellular physiology using photosensitive, genetically encoded molecules has profoundly transformed neuroscience. The modern optogenetic toolbox includes fluorescent sensors to visualize signaling events in living cells and optogenetic actu
10.32657/10356/144674	Studying functional connectome of the human brain		Advances in neuroimaging techniques have made it possible to access intricate details on brain function and structure. Functional magnetic resonance imaging (MRI) gives us access to brain's functional activations and aids in understanding its functional archit
10.1038/nmeth.3365	High-performance probes for light and electron microscopy	Nature Methods	We describe an engineered family of highly antigenic molecules based on GFP-like fluorescent proteins. These molecules contain numerous copies of peptide epitopes and simultaneously bind IgG antibodies at each location. These 'spaghetti monster' fluorescent pr
10.1016/j.neuron.2025.11.009	Oligodendrocyte mechanotransduction channel TMEM63A regulates myelin sheath geometry.	Neuron	Oligodendrocytes, the myelinating cells of the central nervous system, precisely sculpt their insulating membranes to match axon size, ensuring fine-tuned action potential propagation. How oligodendrocytes estimate axon caliber to adapt myelin sheath geometry 
10.1016/j.tins.2012.12.011	Cognition with few neurons: higher-order learning in insects.	Trends in Neurosciences	Insects possess miniature brains but exhibit a sophisticated behavioral repertoire. Recent studies have reported the existence of unsuspected cognitive capabilities in various insect species that go beyond the traditionally studied framework of simple associat
10.3109/01677063.2010.489626	The Active Zone T-Bar—A Plasticity Module?	Journal of neurogenetics	The synaptic active zone, the site where Ca(2+)-triggered fusion of synaptic vesicles takes place, is commonly associated with protein-rich, electron-dense cytomatrices. The molecular composition and functional role of active zones, especially in the context o
10.1093/cercor/bhs006	Interpyramid spike transmission stabilizes the sparseness of recurrent network activity.	Cerebral Cortex	Cortical synaptic strengths vary substantially from synapse to synapse and exhibit a skewed distribution with a small fraction of synapses generating extremely large depolarizations. Using multiple whole-cell recordings from rat hippocampal CA3 pyramidal cells
10.48550/arxiv.2303.12073	<NO TITLE>		Accurate 3D mitochondria instance segmentation in electron microscopy (EM) is a challenging problem and serves as a prerequisite to empirically analyze their distributions and morphology. Most existing approaches employ 3D convolutions to obtain representative
10.1007/s10539-019-9697-8	Psychoneural reduction: a perspective from neural circuits	Biology & Philosophy	Psychoneural reduction has been debated extensively in the philosophy of neuroscience. In this article I will evaluate metascientific approaches that claim direct molecular and cellular explanations of cognitive functions. I will initially consider the issues 
10.3390/biomimetics11080569	Pretraining of Embodied Recurrent Networks Bridges the Gap Between Artificial and Cortical Neural Activities.	Biomimetics	Task-driven recurrent neural networks (RNNs) have been widely employed as tools for investigating neural dynamics in neural motor control research by modeling the motor cortex. RNNs are often implicitly assumed to learn the underlying computational mechanisms 
10.1016/j.celrep.2020.108551	Electron Microscopic Reconstruction of Neural Circuitry in the Cochlea.	Cell Reports	Recent studies reveal great diversity in the structure, function, and efferent innervation of afferent synaptic connections between the cochlear inner hair cells (IHCs) and spiral ganglion neurons (SGNs), which likely enables audition to process a wide range o
10.1073/pnas.1706281114	Expansion microscopy of zebrafish for neuroscience and developmental biology studies	Proceedings of the National Academy of S	Significance We explore the utility of expansion microscopy (ExM) in neuroscience and developmental biology using the zebrafish model. Regarding neuroscience studies, ExM enables the tracing of cellular processes in the zebrafish brain, as well as the imaging 
10.1073/pnas.1106386108	Enhancer-driven membrane markers for analysis of nonautonomous mechanisms reveal neuron–glia interactions in Drosophila	Proceedings of the National Academy of S	Extrinsic factors and the interactions of neurons with surrounding tissues are essential for almost every aspect of neuronal development. Here we describe a strategy of g ene e xpression with an independent e nhancer-driven cellular m arker (GEEM) for studying
10.1038/s41467-017-00156-9	Inference of neuronal functional circuitry with spike-triggered non-negative matrix factorization	Nature Communications	Neurons in sensory systems often pool inputs over arrays of presynaptic cells, giving rise to functional subunits inside a neuron’s receptive field. The organization of these subunits provides a signature of the neuron’s presynaptic functional connectivity and
10.1038/s41467-024-54778-x	Diverting glial glycolytic flux towards neurons is a memory-relevant role of Drosophila CRH-like signalling	Nature Communications	An essential role of glial cells is to comply with the large and fluctuating energy needs of neurons. Metabolic adaptation is integral to the acute stress response, suggesting that glial cells could be major, yet overlooked, targets of stress hormones. Here we
10.1101/291831	Developmentally arrested precursors of pontine neurons establish an embryonic blueprint of the Drosophila central complex	bioRxiv	Serial electron microscopic analysis shows that the Drosophila brain at hatching possesses a large fraction of developmentally arrested neurons with a small soma, heterochromatin-rich nucleus, and unbranched axon lacking synapses. We digitally reconstructed al
10.3389/fnsyn.2018.00045	Astrocyte–Neuron Networks: A Multilane Highway of Signaling for Homeostatic Brain Function	Frontiers in Synaptic Neuroscience	Research on glial cells over the past 30 years has confirmed the critical role of astrocytes in pathophysiological brain states. However, most of our knowledge about astrocyte physiology and of the interactions between astrocytes and neurons is based on the pr
10.48550/arxiv.2602.19423	Prefer-DAS: Learning from Local Preferences and Sparse Prompts for Domain Adaptive Segmentation of Electron Microscopy	arXiv.org	Domain adaptive segmentation (DAS) is a promising paradigm for delineating intracellular structures from various large-scale electron microscopy (EM) without incurring extensive annotated data in each domain. However, the prevalent unsupervised domain adaptati
10.1002/(sici)1096-9861(19990510)407:3<427::aid-cne10>3.0.co;2-9	Localization of metabotropic glutamate receptors mGluR1α and mGluR2/3 in the cat retina	The Journal of Comparative Neurology	The distribution of metabotropic glutamate receptors 1alpha (mGluR1alpha) and mGluR2/3 in the cat retina was studied through the use of preembedding immunocytochemistry for light and electron microscopy. Staining for mGluR1alpha in the outer plexiform layer wa
10.1016/j.cub.2021.11.005	Dendro-somatic synaptic inputs to ganglion cells contradict receptive field and connectivity conventions in the mammalian retina	Current Biology	Summary The morphology of retinal neurons strongly influences their physiological function. Ganglion cell (GC) dendrites ramify in distinct strata of the inner plexiform layer (IPL) so that GCs responding to light increments (ON) or decrements (OFF) receive ap
10.1126/science.aay3134	Dense connectomic reconstruction in layer 4 of the somatosensory cortex	Science	Brain anatomy revealed in startling detail The mammalian cerebral cortex is an enormously complex network of neuronal processes that are long and thin, branching, and extremely densely packed. This high packing density has made the reconstruction of cortical n
10.1073/pnas.2210719120	Astrocytic engagement of the corticostriatal synaptic cleft is disrupted in a mouse model of Huntington’s disease	Proceedings of the National Academy of S	Significance Astrocytic physiological dysfunction contributes to development of the neurodegenerative phenotype in Huntington’s disease (HD), but the structural correlates to this dysfunction are unclear. Here, we used a combination of viral tracing, phenotype
10.7554/elife.48615	Local axonal morphology guides the topography of interneuron myelination in mouse and human neocortex	eLife	GABAergic fast-spiking parvalbumin-positive (PV) interneurons are frequently myelinated in the cerebral cortex. However, the factors governing the topography of cortical interneuron myelination remain incompletely understood. Here, we report that segmental mye
10.1371/journal.pcbi.1006446	Dimensionality in recurrent spiking networks: Global trends in activity and local origins in connectivity	bioRxiv	The dimensionality of a network’s collective activity is of increasing interest in neuroscience. This is because dimensionality provides a compact measure of how coordinated network-wide activity is, in terms of the number of modes (or degrees of freedom) that
10.7554/elife.48373	Ultrastructural heterogeneity of layer 4 excitatory synaptic boutons in the adult human temporal lobe neocortex	eLife	Synapses are fundamental building blocks controlling and modulating the ‘behavior’ of brain networks. How their structural composition, most notably their quantitative morphology underlie their computational properties remains rather unclear, particularly in h
10.1016/j.neuron.2019.08.011	Can one concurrently record electrical spikes from every neuron in a mammalian brain?	Neuron	The classic approach to measure the spiking response of neurons involves the use of metal electrodes to record extracellular potentials. Starting over 60 years ago with a single recording site, this technology now extends to ever larger numbers and densities o
10.1126/science.1150769	Synaptic Theory of Working Memory	Science	It is usually assumed that enhanced spiking activity in the form of persistent reverberation for several seconds is the neural correlate of working memory. Here, we propose that working memory is sustained by calcium-mediated synaptic facilitation in the recur
10.1101/2025.03.02.641007	The larval                   <i>Drosophila</i>                   mushroom body balances lateralized sensing and interhemispheric integration		Abstract All animals with bilateral symmetry must integrate the sensory input from the left and right sides of their bodies to make coherent perceptual decisions. In the Drosophila larva, olfactory receptor neurons project largely ipsilaterally, providing a tr
10.1038/aps.2010.108	Recent advances in (patho)physiology of astroglia	Acta Pharmacologica Sinica	AbstractOur view of astrocytes in the operation of the brain is changing dramatically over the last 3 decades. Astroglial calcium excitability controls the release of gliotransmitters, which can occur at the tripartite synapse. Astrocytes not only modulate syn
10.1523/jneurosci.0756-08.2008	Organization of the Arp2/3 Complex in Hippocampal Spines	Journal of Neuroscience	Changes in the morphology of a dendritic spine require remodeling of its actin-based cytoskeleton. Biochemical mechanisms underlying actin remodeling have been studied extensively, but little is known about the physical organization of the actin-binding protei
10.1126/science.291.5504.657	Control of synapse number by glia.	Science	Although astrocytes constitute nearly half of the cells in our brain, their function is a long-standing neurobiological mystery. Here we show by quantal analyses, FM1-43 imaging, immunostaining, and electron microscopy that few synapses form in the absence of 
10.1371/journal.pone.0088254	Small Modifications to Network Topology Can Induce Stochastic Bistable Spiking Dynamics in a Balanced Cortical Model	PLoS ONE	Abstract Directed random graph models frequently are used successfully in modeling the population dynamics of networks of cortical neurons connected by chemical synapses. Experimental results consistently reveal that neuronal network topology is complex, howev
10.1101/2020.01.21.911859	A Connectome of the Adult Drosophila Central Brain	bioRxiv	The neural circuits responsible for behavior remain largely unknown. Previous efforts have reconstructed the complete circuits of small animals, with hundreds of neurons, and selected circuits for larger animals. Here we (the FlyEM project at Janelia and colla
10.1038/nn.2489	Diversity and Wiring Variability of Olfactory Local Interneurons in the Drosophila Antennal Lobe	Nature Neuroscience	Local interneurons are essential in information processing by neural circuits. Here we present a comprehensive genetic, anatomical and electrophysiological analysis of local interneurons (LNs) in the Drosophila melanogaster antennal lobe, the first olfactory p
10.1016/b978-0-12-394447-4.20085-0	Imaging Cellular Architecture with 3D SEM	Encyclopedia of Cell Biology	
10.1007/978-3-319-99103-0_9	Recording Identified Neurons in Awake and Anesthetized Rodents	Springer Series in Computational Neurosc	
10.1016/j.neuron.2011.08.031	Seeing things in motion: models, circuits, and mechanisms.	Neuron	Motion vision provides essential cues for navigation and course control as well as for mate, prey, or predator detection. Consequently, neurons responding to visual motion in a direction-selective way are found in almost all species that see. However, directio
10.1002/cne.25396	3D‐atlas of the brain of the cockroach Rhyparobia maderae	The Journal of comparative neurology	The Madeira cockroach Rhyparobia maderae is a nocturnal insect and a prominent model organism for the study of circadian rhythms. Its master circadian clock, controlling circadian locomotor activity and sleep–wake cycles, is located in the accessory medulla of
10.1016/j.cub.2020.04.069	Non-canonical receptive field properties and neuromodulation of feature detecting neurons in flies	Current Biology	SUMMARY Several fundamental aspects of motion vision circuitry are prevalent across flies and mice. Both taxa segregate ON and OFF signals. For any given spatial pattern, motion detectors in both taxa are tuned to speed, selective for one of four cardinal dire
10.1292/jvms.22-0433	Histological study on regional specificity of the mucosal nerve network in the rat large intestine	Journal of Veterinary Medical Science	Our previous studies and others have revealed detailed characteristics of the mucosal nerve network in the small intestine, but much remains unknown about the corresponding network in the large intestine. We herein investigated regional differences in the expr
10.7554/elife.85756	Neural circuit mechanisms for transforming learned olfactory valences into wind-oriented movement	eLife	How memories are used by the brain to guide future action is poorly understood. In olfactory associative learning in Drosophila, multiple compartments of the mushroom body act in parallel to assign a valence to a stimulus. Here, we show that appetitive memorie
10.3791/51382	Imaging Cleared Intact Biological Systems at a Cellular Level by 3DISCO	Journal of Visualized Experiments	Tissue clearing and subsequent imaging of transparent organs is a powerful method to analyze fluorescently labeled cells and molecules in 3D, in intact organs. Unlike traditional histological methods, where the tissue of interest is sectioned for fluorescent i
10.1101/182758	Digital museum of retinal ganglion cells with dense anatomy and physiology	bioRxiv	Most digital brain atlases have macroscopic resolution and are confined to a single imaging modality. Here we present a new kind of resource that combines dense maps of anatomy and physiology at cellular resolution. The resource encompasses almost 400 ganglion
10.1016/j.physa.2008.10.004	Memorizing morph patterns in small-world neuronal network	Physica A: Statistical Mechanics and its	
10.1371/journal.pbio.3003014	The dorsal fan-shaped body is a neurochemically heterogeneous sleep-regulating center in Drosophila	bioRxiv	Sleep is a behavior that is conserved throughout the animal kingdom. Yet, despite extensive studies in humans and animal models, the exact function or functions of sleep remain(s) unknown. A complicating factor in trying to elucidate the function of sleep is t
10.1021/acs.analchem.1c03819	Extracellular Fluid Collection and Analysis of Drosophila melanogaster Brain Tissue with μ-Low-Flow Push-Pull Perfusion (μLFPP).	Analytical Chemistry	The development of methods to generate quantitative chemical content information from precise tissue locations is needed to understand fundamental cellular and tissue physiology. This work describes a method to perfuse the extracellular fluid of fly brains in 
10.1016/bs.ctdb.2020.10.001	Transitional chordates and vertebrate origins: Tunicates.	Current Topics in Developmental Biology	The Origin of Chordates has fascinated scientists from the time of Charles Darwin's publication "Descent of Man" in 1871. For over 100 years, it was accepted that chordates evolved from tunicates, our sessile invertebrate sister group. However, genomic and emb
10.1111/j.1601-183x.2012.00863.x	Genetic dissection of memory for associative and non‐associative learning in Caenorhabditis elegans	Genes, Brain and Behavior	The distinction between non‐associative and associative forms of learning has historically been based on the behavioral training paradigm. Through discovering the molecular mechanisms that mediate learning, we can develop a deeper understanding of the relation
10.3390/ijms22031188	Comparative 2D and 3D Ultrastructural Analyses of Dendritic Spines from CA1 Pyramidal Neurons in the Mouse Hippocampus	International Journal of Molecular Scien	Three-dimensional (3D) reconstruction from electron microscopy (EM) datasets is a widely used tool that has improved our knowledge of synapse ultrastructure and organization in the brain. Rearrangements of synapse structure following maturation and in synaptic
